id_t;neo_id;name;absoluteMagnitude;estimateDiameterMin;estimatedDiameterMax;relativeVelocity;missDistance;isHazardous
253;3769874;(2017 DQ35);22.70;0.076657557;0.171411509;66834.4685;32638151.36;False
253;3836961;(2018 XU6);21.82;0.114962176;0.257063241;16997.47674;44358627.23;False
253;3838082;(2019 BF5);21.50;0.133215567;0.297879063;123124.4488;39112868.3;True
253;54448114;(2024 MC);23.97;0.042712499;0.09550805;65516.94135;66902332.64;False
253;2469513;469513 (2003 QR79);20.87;0.178055329;0.39814382;41964.85359;10880466.58;False
253;2483508;483508 (2003 CR1);20.02;0.263363131;0.588897864;90626.08361;59871221.32;True
253;3485632;(2010 AG40);22.01;0.105330702;0.235526609;45048.0126;26196159.58;False
253;3795110;(2017 YO6);22.38;0.088829042;0.198627776;43792.55888;63647106.3;False
253;3797448;(2018 AE2);19.95;0.271991277;0.608190985;87218.20396;43395795.03;True
253;54171310;(2021 NT8);19.66;0.310852938;0.695088301;98309.98874;48019038.29;False
253;54179306;(2021 PK4);28.19;0.006117232;0.013678547;77968.21229;53734847.37;False
253;2040267;40267 (1999 GJ4);15.55;2.063264836;4.613600429;134176.7341;41013219.58;False
253;2468727;468727 (2010 JE87);20.77;0.186446818;0.41690776;39731.9177;47404923.93;True
253;3557196;(2011 CC22);21.22;0.151549664;0.33887535;69517.07388;71524882.42;True
253;3680249;(2014 PB58);20.80;0.183888672;0.411187571;103221.804;36437549.25;False
253;3714452;(2015 FQ117);20.87;0.178055329;0.39814382;100009.3398;42371204.95;True
253;3837867;(2019 AX11);25.00;0.02658;0.059434687;45734.0873;22086296.97;False
253;3843134;(2019 NH2);20.06;0.258556212;0.578149266;65432.34092;48388319.2;False
253;3989671;(2020 CL1);19.95;0.271991277;0.608190985;83698.50524;42572073.68;True
253;2673713;673713 (2015 FQ117);20.87;0.178055329;0.39814382;100009.3399;42371204.89;True
253;2137120;137120 (1999 BJ8);18.30;0.58150704;1.30028927;51940.59307;7984603.084;True
253;2506459;506459 (2002 AL14);17.97;0.676947481;1.513700585;44184.96271;50754443.45;False
253;2523781;523781 (2015 BV92);19.93;0.274507982;0.613818507;24693.89726;42196023.6;False
253;3313556;(2006 BP6);20.70;0.192555078;0.430566244;47868.29315;35653236.01;False
253;3435023;(2008 UB95);24.80;0.029144391;0.065168838;20965.51909;29119412.29;False
253;3843319;(2019 ND7);21.45;0.136318556;0.304817558;104151.729;48799326.5;True
253;2153951;153951 (2002 AC3);18.75;0.472666667;1.056914799;29308.32856;43473389.13;False
253;3448109;(2009 DB12);21.27;0.148099972;0.331161605;99565.57994;38746288.63;False
253;3601276;(2012 EH5);24.50;0.033462237;0.074823838;35650.87319;36943066.45;False
