COSPAR_number;NORAD_number;contractor1;contractor2;contractor3;contractor4;contractor5
2000-081A;26638;Hughes Space and Communications Co.;;;;
2013-056A;39285;EADS Astrium;;;;
2012-051A;38778;EADS Astrium;;;;
2014-089A;40364;Airbus Defense and Space;;;;
2002-015B;27400;Boeing Satellite Systems;;;;
2010-021A;36581;EADS Astrium;;;;
2014-011B;39617;EADS Astrium;;;;
2018-004S;43127;Astranis;;;;
2021-006T;47430;Astrocast;;;;
2021-006CD;47488;Astrocast;;;;
2021-006CC;47487;Astrocast;;;;
2021-006DK;47519;Astrocast;;;;
2021-006DH;47517;Astrocast;;;;
2021-059CD;48954;Astrocast;;;;
2021-059CL;48961;Astrocast;;;;
2021-059CE;48955;Astrocast;;;;
2021-059CB;48952;Astrocast;;;;
2021-059CK;48960;Astrocast;;;;
2015-052A;40930;Indian Space Research Organization (ISRO);;;;
2019-034A;44333;Airbus Defense and Space;;;;
2020-061D;46275;Maxar Technologies;;;;
2014-006B;39509;Thales Alenia Space;;;;
2015-077C;41168;Microspace Rapid Pvt Ltd.;;;;
2013-006B;39079;Orbital Sciences Corp.;;;;
2018-074A;43632;Space Systems;Loral;;;
2006-051A;29526;EADS Astrium;;;;
2010-025A;36592;EADS Astrium;;;;
2010-032B;36745;EADS Astrium;;;;
2008-034B;33154;EADS Astrium;;;;
2015-065B;41029;Airbus Defense and Space;;;;
2018-044A;43463;Thales Alenia Space;;;;
2021-117C;49814;Unknown;;;;
2015-009A;40420;Progress Rocket and Space Center;;;;
2016-020A;41394;Progress Rocket and Space Center;;;;
2022-054A;52713;Progress Rocket and Space Center;;;;
2023-040A;55978;Progress Rocket and Space Center;;;;
2023-050J;56171;Leidos;;;;
2023-050K;56170;Leidos;;;;
2022-033U;52175;Central European Institute of Technology;;;;
2023-001CT;55098;Central European Institute of Technology;;;;
2021-022AM;48083;Technical University Berlin;;;;
2021-022AB;47957;Technical University Berlin;;;;
2021-022AN;48084;Technical University Berlin;;;;
2021-022AP;48085;Technical University Berlin;;;;
2019-038AC;44412;Technical University Berlin;;;;
2012-018A;38250;Space Technology Research Institute (part of CASC);;;;
2012-018B;38251;Space Technology Research Institute (part of CASC);;;;
2012-050B;38775;Space Technology Research Institute (part of CASC);;;;
2012-059A;38953;Space Technology Research Institute (part of CASC);;;;
2016-021A;41434;Space Technology Research Institute (part of CASC);;;;
2016-037A;41586;Space Technology Research Institute (part of CASC);;;;
2015-019A;40549;Space Technology Research Institute (part of CASC);;;;
2015-053A;40938;Space Technology Research Institute (part of CASC);;;;
2015-037A;40748;Space Technology Research Institute (part of CASC);;;;
2015-037B;40749;Space Technology Research Institute (part of CASC);;;;
2017-069A;43001;Space Technology Research Institute (part of CASC);;;;
2019-061A;44542;Space Technology Research Institute (part of CASC);;;;
2019-061B;44543;Space Technology Research Institute (part of CASC);;;;
