COSPAR_number;NORAD_number;owner1;owner2;owner3
2014-089A;40364;SES S.A.;;
2002-015B;27400;SES S.A.;;
2010-021A;36581;SES S.A.;;
2014-011B;39617;SES S.A.;;
2018-004S;43127;Astranis;;
2021-006T;47430;Astrocast;;
2021-006CD;47488;Astrocast;;
2021-006CC;47487;Astrocast;;
2021-006DK;47519;Astrocast;;
2021-006DH;47517;Astrocast;;
2021-059CD;48954;Astrocast;;
2021-059CL;48961;Astrocast;;
2021-059CE;48955;Astrocast;;
2021-059CB;48952;Astrocast;;
2021-059CK;48960;Astrocast;;
2015-052A;40930;Telemetry Tracking and Command Network (ISTRAC) Centre;;
2019-034A;44333;DirecTV, Inc.;;
2020-061D;46275;PointView Tech;;
2014-006B;39509;Centre National d'Etudes Spatiales (CNES);Agenzia Spaziale Italiana (ASI);
2015-077C;41168;Microspace Rapid Pvt Ltd.;;
2013-006B;39079;Azercosmos;;
2018-074A;43632;Azercosmos;;
2006-051A;29526;Arab Satellite Communications Org. (ASCO);;
2010-025A;36592;Arab Satellite Communications Org. (ASCO);;
2010-032B;36745;Arab Satellite Communications Org. (ASCO);;
2008-034B;33154;Arab Satellite Communications Org. (ASCO);;
2015-065B;41029;Arab Satellite Communications Org. (ASCO);;
2018-044A;43463;Bangladesh Telecommunication Regulatory Commission (BTRC);;
2021-117C;49814;Tianyi Research Institute;;
2015-009A;40420;Ministry of Defense;;
2016-020A;41394;Ministry of Defense;;
2022-054A;52713;Ministry of Defense;;
2023-040A;55978;Ministry of Defense;;
2023-050J;56171;Space Development Agency;;
2023-050K;56170;Space Development Agency;;
2022-033U;52175;Central European Institute of Technology;;
2023-001CT;55098;Central European Institute of Technology;;
2021-022AM;48083;Technical University Berlin;;
2021-022AB;47957;Technical University Berlin;;
2021-022AN;48084;Technical University Berlin;;
2021-022AP;48085;Technical University Berlin;;
2019-038AC;44412;Technical University Berlin;;
2012-018A;38250;Chinese Ministry of National Defense;;
2012-018B;38251;Chinese Ministry of National Defense;;
2012-050B;38775;Chinese Ministry of National Defense;;
2012-059A;38953;Chinese Ministry of National Defense;;
2016-021A;41434;Chinese Ministry of National Defense;;
2016-037A;41586;Chinese Ministry of National Defense;;
2015-019A;40549;Chinese Ministry of National Defense;;
2015-053A;40938;Chinese Ministry of National Defense;;
2015-037A;40748;Chinese Ministry of National Defense;;
2015-037B;40749;Chinese Ministry of National Defense;;
2017-069A;43001;Chinese Ministry of National Defense;;
2019-061A;44542;Chinese Ministry of National Defense;;
2019-061B;44543;Chinese Ministry of National Defense;;
2017-069B;43002;Chinese Ministry of National Defense;;
2018-003A;43107;Chinese Ministry of National Defense;;
2018-003B;43108;Chinese Ministry of National Defense;;
2018-018A;43207;Chinese Ministry of National Defense;;
2018-018B;43208;Chinese Ministry of National Defense;;
2018-029A;43246;Chinese Ministry of National Defense;;
2018-029B;43245;Chinese Ministry of National Defense;;
2018-057A;43539;Chinese Ministry of National Defense;;
2018-062A;43581;Chinese Ministry of National Defense;;
2018-062B;43582;Chinese Ministry of National Defense;;
2018-067A;43602;Chinese Ministry of National Defense;;
2018-067B;43603;Chinese Ministry of National Defense;;
2018-072A;43622;Chinese Ministry of National Defense;;
2018-072B;43623;Chinese Ministry of National Defense;;
2018-078A;43647;Chinese Ministry of National Defense;;
2018-078B;43648;Chinese Ministry of National Defense;;
2018-085A;43683;Chinese Ministry of National Defense;;
2018-093A;43706;Chinese Ministry of National Defense;;
2018-093B;43707;Chinese Ministry of National Defense;;
2019-023A;44204;Chinese Ministry of National Defense;;
2019-027A;44231;Chinese Ministry of National Defense;;
2019-035A;44337;Chinese Ministry of National Defense;;
2019-073A;44709;Chinese Ministry of National Defense;;
2019-078A;44793;Chinese Ministry of National Defense;;
2019-078B;44794;Chinese Ministry of National Defense;;
2019-090A;44864;Chinese Ministry of National Defense;;
2019-090B;44865;Chinese Ministry of National Defense;;
2020-040A;45807;Chinese Ministry of National Defense;;
2020-017A;45344;Chinese Ministry of National Defense;;
2010-057A;37210;Chinese Ministry of National Defense;;
2012-008A;38091;Chinese Ministry of National Defense;;
2010-036A;36828;Chinese Ministry of National Defense;;
2010-068A;37256;Chinese Ministry of National Defense;;
2011-013A;37384;Chinese Ministry of National Defense;;
2011-038A;37763;Chinese Ministry of National Defense;;
2011-073A;37948;Chinese Ministry of National Defense;;
2021-050A;48840;21st Century Aerospace Technology (21AT);;
2005-043A;28890;Beijing Landview Mapping Information Technology Co. Ltd (BLMIT);;
2023-007K;55257;Changsha Tianyi space science and Technology Research Institute Co., Ltd. (Spacety);;
2016-001A;41238;Belintersat;;
2001-049C;26959;Institute of Space Sensor Technology and Planetary Exploration;;
2023-001G;55015;Norwegian Defence Research Establishment (FFI);;
2016-040F;41604;German Aerospace Center (DLR);;
2015-058E;40968;Salish Kootenai College;;
2012-039B;38708;National Academy of Sciences;;
2018-096M;43730;BlackSky Global;;
2021-106A;49469;BlackSky Global;;
2021-106B;49470;BlackSky Global;;
2021-120B;49950;BlackSky Global;;
2021-120A;49949;BlackSky Global;;
2022-034B;52196;BlackSky Global;;
2023-041B;55982;BlackSky Global;;
2018-099BG;43812;BlackSky Global;;
2022-034C;52197;BlackSky Global;;
2019-037C;44367;BlackSky Global;;
2019-054E;44499;BlackSky Global;;
2023-041C;55983;BlackSky Global;;
2020-055BP;46088;BlackSky Global;;
2020-055BQ;46089;BlackSky Global;;
2021-023G;47971;BlackSky Global;;
2016-059E;41787;BlackSky Global;;
2017-046A;42907;Ministry of Defense;;
2018-037A;43432;Ministry of Defense;;
2018-107A;43867;Ministry of Defense;;
2019-048A;44457;Ministry of Defense;;
2019-018AD;44105;NanoAvionics;;
2022-111AL;53808;AST SpaceMobile;;
2000-046A;26469;Embratel Star One;;
2021-058F;48876;Ministry of Defense;;
2018-099BH;43813;SpaceQuest, Ltd.;;
2016-039A;41591;Bank Rakyat Indonesia (BRI);;
2014-033L;40020;University of Toronto, Institute for Aerospace Studies;;
2014-049B;40119;BRITE Consortium;;
2019-054A;44495;UnseenLabs;;
2020-085N;46941;UnseenLabs;;
2020-085Q;46943;UnseenLabs;;
2021-073A;49066;UnseenLabs;;
2022-047AE;52422;UnseenLabs;;
2022-033T;52174;UnseenLabs;;
2023-001C;55011;UnseenLabs;;
2023-054H;56185;UnseenLabs;;
2023-054B;56179;AstroForge;;
2007-036B;32019;Broadcasting Satellite System Corp.;;
2010-056B;37207;Broadcasting Satellite System Corp.;;
2011-041B;37776;Broadcasting Satellite System Corp.;Sky Perfect JSAT Corporation;
2017-059B;42951;Broadcasting Satellite System Corp.;;
2020-056A;46112;Broadcasting Satellite System Corp.;;
2017-073B;43014;Defence Science and Technology Group;University of New South Wales;
2019-032C;44312;China Academy of Space Technology (CAST);;
2019-032E;44314;China Academy of Space Technology (CAST);;
2014-033E;40014;Satellogic S.A.;;
2017-038A;42801;Bulsatcom;;
2021-002M;47320;Capital Technology University;;
2006-016B;29108;Centre National d'Etudes Spatiales (CNES);NASA;
2008-021H;32790;University of Toronto, Institute for Aerospace Studies;;
2014-034C;40055;University of Toronto, Institute for Aerospace Studies;;
2014-034D;40056;University of Toronto, Institute for Aerospace Studies;;
2016-059F;41788;University of Toronto, Institute for Aerospace Studies;;
2021-002A;47309;University of Louisiana at Lafayette;;
2023-035C;55910;Capella Space;;
2021-041BE;48605;Capella Space;;
2022-002CS;51072;Capella Space;;
2022-002CR;51071;Capella Space;;
2023-035B;55909;Capella Space;;
2005-017A;28649;Indian Space Research Organization (ISRO);;
2007-001B;29710;Indian Space Research Organization (ISRO);;
2008-021A;32783;Indian Space Research Organization (ISRO);;
2010-035A;36795;Indian Space Research Organization (ISRO);;
2016-040A;41599;Indian Space Research Organization (ISRO);;
2017-008A;41948;Indian Space Research Organization (ISRO);;
2017-036C;42767;Indian Space Research Organization (ISRO);;
2018-004A;43111;Indian Space Research Organization (ISRO);;
2019-081A;44804;Indian Space Research Organization (ISRO);;
2021-022A;47932;Korea Aerospace Research Institute (KARI);;
2013-055A;39265;Canadian Space Agency;;
2018-036A;43339;US Air Force;;
2023-008A;55263;US Air Force;;
2014-079A;40336;China National Space Administration (CNSA);National Institute for Space Research (Brazil);
