COSPAR_number;NORAD_number;owner1;owner2;owner3
2022-002U;51002;Cape Canaveral;;
2022-002BV;51051;Cape Canaveral;;
2018-096L;43729;Satish Dhawan Space Centre;;
2023-054AR;56217;Vandenberg AFB;;
2023-054AS;56218;Vandenberg AFB;;
2020-061AZ;46319;Guiana Space Center;;
2020-068AP;46499;Plesetsk Cosmodrome;;
2020-068AN;46498;Plesetsk Cosmodrome;;
2021-022Z;47955;Baikonur Cosmodrome;;
2021-022T;47949;Baikonur Cosmodrome;;
2021-006BR;47476;Cape Canaveral;;
2021-006DX;47531;Cape Canaveral;;
1998-067NE;42982;International Space Station;;
2022-117A;53883;Vandenberg AFB;;
2005-042A;28888;Vandenberg AFB;;
2011-002A;37348;Vandenberg AFB;;
2013-043A;39232;Vandenberg AFB;;
2019-004A;43941;Vandenberg AFB;;
2021-032A;48247;Vandenberg AFB;;
2018-084F;43676;Tanegashima Space Center;;
2022-096A;53370;Baikonur Cosmodrome;;
2023-054D;56181;Vandenberg AFB;;
2018-008C;43157;Jiuquan Satellite Launch Center;;
2017-005A;41940;Tanegashima Space Center;;
2015-049R;40914;Taiyuan Launch Center;;
2009-002H;33499;Tanegashima Space Center;;
2019-077A;44785;Jiuquan Satellite Launch Center;;
2019-077B;44786;Jiuquan Satellite Launch Center;;
2021-070A;49059;Taiyuan Launch Center;;
2021-070B;49060;Taiyuan Launch Center;;
2021-022U;47950;Baikonur Cosmodrome;;
2006-031A;29268;Plesetsk Cosmodrome;;
2012-025B;38338;Tanegashima Space Center;;
2015-014A;40536;Dombarovsky Air Base;;
2013-042A;39227;Dombarovsky Air Base;;
2006-034A;29349;Sea Launch Odyssey;;
2017-067A;42984;Cape Canaveral;;
2010-070B;37265;Guiana Space Center;;
2017-023A;42691;Guiana Space Center;;
2021-102H;49402;Uchinoura Space Center;;
2021-059BD;48930;Cape Canaveral;;
2021-059AZ;48926;Cape Canaveral;;
2022-033AP;52194;Cape Canaveral;;
2022-033AN;52193;Cape Canaveral;;
2022-033AJ;52189;Cape Canaveral;;
2022-033AK;52190;Cape Canaveral;;
2023-001CF;55086;Cape Canaveral;;
2023-001L;55019;Cape Canaveral;;
2023-001K;55018;Cape Canaveral;;
2023-001CE;55085;Cape Canaveral;;
2021-059BR;48942;Cape Canaveral;;
2021-059BZ;48950;Cape Canaveral;;
2020-081B;46906;Satish Dhawan Space Centre;;
2020-081C;46907;Satish Dhawan Space Centre;;
2020-081H;46912;Satish Dhawan Space Centre;;
2020-081K;46914;Satish Dhawan Space Centre;;
2021-022Y;47954;Baikonur Cosmodrome;;
2022-129A;54029;Jiuquan Satellite Launch Center;;
2023-001CY;55103;Cape Canaveral;;
2019-058B;44520;Jiuquan Satellite Launch Center;;
2000-047A;26473;Vandenberg AFB;;
2005-016A;28646;Cape Canaveral;;
2021-022S;47948;Baikonur Cosmodrome;;
2023-054AN;56214;Vandenberg AFB;;
2020-068G;46492;Plesetsk Cosmodrome;;
2018-102F;43836;Jiuquan Satellite Launch Center;;
2018-102G;43837;Jiuquan Satellite Launch Center;;
2018-102H;43838;Jiuquan Satellite Launch Center;;
2018-102J;43839;Jiuquan Satellite Launch Center;;
2018-102K;43840;Jiuquan Satellite Launch Center;;
2018-102L;43841;Jiuquan Satellite Launch Center;;
2018-102M;43842;Jiuquan Satellite Launch Center;;
1999-020A;25682;Vandenberg AFB;;
2013-008A;39084;Vandenberg AFB;;
2021-088A;49260;Vandenberg AFB;;
2015-067A;41034;Xichang Satellite Launch Center;;
2015-052B;40931;Satish Dhawan Space Centre;;
2016-040E;41603;Satish Dhawan Space Centre;;
2007-001A;29709;Satish Dhawan Space Centre;;
2002-058H;27612;Baikonur Cosmodrome;;
2002-058B;27606;Baikonur Cosmodrome;;
2021-118B;49818;Cape Canaveral;;
2023-008B;55264;Cape Canaveral;;
2021-073D;49069;Guiana Space Center;;
2014-033AL;40044;Dombarovsky Air Base;;
2021-059BA;48927;Cape Canaveral;;
2019-038X;44407;Vostochny Cosmodrome;;
2018-046F;43559;Cygnus;;
2021-034B;48269;Guiana Space Center;;
2017-042P;42838;Baikonur Cosmodrome;;
2017-019B;42752;International Space Station - Cygnus;;
2021-059AW;48923;Cape Canaveral;;
2016-062E;41873;Wallops Island Flight Facility;;
2019-018H;44085;Satish Dhawan Space Centre;;
2017-071L;43047;International Space Station - Cygnus;;
2018-004Q;43125;Satish Dhawan Space Centre;;
2021-059CJ;48959;Cape Canaveral;;
2021-006DV;47529;Cape Canaveral;;
2018-088H;43697;Rocket Lab Launch Complex 1;;
2015-052D;40933;Satish Dhawan Space Centre;;
2018-111G;43882;Vostochny Cosmodrome;;
2018-111P;43889;Vostochny Cosmodrome;;
2018-004R;43126;Satish Dhawan Space Centre;;
2020-068R;46501;Plesetsk Cosmodrome;;
2017-042T;42842;Baikonur Cosmodrome;;
2023-001F;55014;Cape Canaveral;;
1998-067RW;46926;International Space Station;;
2022-002CC;51058;Cape Canaveral;;
2020-061AW;46316;Guiana Space Center;;
2018-096AC;43745;Satish Dhawan Space Centre;;
2017-071S;43053;International Space Station - Cygnus;;
2019-038V;44405;Vostochny Cosmodrome;;
2019-038Z;44409;Vostochny Cosmodrome;;
2019-018J;44086;Satish Dhawan Space Centre;;
2023-001AE;55037;Cape Canaveral;;
2020-061AC;46298;Guiana Space Center;;
2023-001CH;55088;Cape Canaveral;;
2017-042R;42840;Baikonur Cosmodrome;;
2017-042N;42837;Baikonur Cosmodrome;;
2019-038AB;44411;Vostochny Cosmodrome;;
2018-111K;43885;Vostochny Cosmodrome;;
2019-089J;44860;Satish Dhawan Space Centre;;
2021-059G;48885;Cape Canaveral;;
2021-006DR;47525;Cape Canaveral;;
2017-019C;42753;International Space Station - Cygnus;;
2020-081G;46911;Satish Dhawan Space Centre;;
2015-052E;40934;Satish Dhawan Space Centre;;
2018-014C;43182;Vostochny Cosmodrome;;
2020-081E;46909;Satish Dhawan Space Centre;;
2017-008BB;41997;Satish Dhawan Space Centre;;
2015-052C;40932;Satish Dhawan Space Centre;;
2019-018G;44084;Satish Dhawan Space Centre;;
2021-059AY;48925;Cape Canaveral;;
2019-089D;44855;Satish Dhawan Space Centre;;
2018-014E;43184;Vostochny Cosmodrome;;
2022-057E;52736;Cape Canaveral;;
2022-002AQ;51022;Cape Canaveral;;
2018-096P;43732;Satish Dhawan Space Centre;;
2017-036K;42774;Satish Dhawan Space Centre;;
2019-038L;44396;Vostochny Cosmodrome;;
2017-036R;42780;Satish Dhawan Space Centre;;
2017-071T;43054;International Space Station - Cygnus;;
2017-036J;42773;Satish Dhawan Space Centre;;
2017-036Q;42779;Satish Dhawan Space Centre;;
2021-006CJ;47493;Cape Canaveral;;
2018-010C;43165;Rocket Lab Launch Complex 1;;
2018-004N;43123;Satish Dhawan Space Centre;;
2017-071Q;43051;International Space Station - Cygnus;;
2017-036T;42782;Satish Dhawan Space Centre;;
2021-059BC;48929;Cape Canaveral;;
2017-008AW;41992;Satish Dhawan Space Centre;;
2022-057AP;52769;Cape Canaveral;;
2022-002BY;51054;Cape Canaveral;;
2023-001AF;55038;Cape Canaveral;;
2017-042Q;42839;Baikonur Cosmodrome;;
2019-038T;44403;Vostochny Cosmodrome;;
2021-006AW;47457;Cape Canaveral;;
2018-111M;43887;Vostochny Cosmodrome;;
2021-006AP;47450;Cape Canaveral;;
2020-068T;46503;Plesetsk Cosmodrome;;
2017-008BA;41996;Satish Dhawan Space Centre;;
2021-006DY;47538;Cape Canaveral;;
2023-054E;56182;Vandenberg AFB;;
2018-096N;43731;Satish Dhawan Space Centre;;
2020-061AD;46299;Guiana Space Center;;
2020-081D;46908;Satish Dhawan Space Centre;;
2019-089K;44861;Satish Dhawan Space Centre;;
2015-052F;40935;Satish Dhawan Space Centre;;
2017-042S;42841;Baikonur Cosmodrome;;
2018-004P;43124;Satish Dhawan Space Centre;;
2023-001E;55013;Cape Canaveral;;
2022-002AP;51021;Cape Canaveral;;
2017-008AZ;41995;Satish Dhawan Space Centre;;
2018-111J;43884;Vostochny Cosmodrome;;
2017-019D;42754;International Space Station - Cygnus;;
2017-071E;43041;International Space Station - Cygnus;;
2022-002BE;51036;Cape Canaveral;;
2017-071M;43048;International Space Station - Cygnus;;
2023-054AE;56206;Vandenberg AFB;;
2021-006DC;47511;Cape Canaveral;;
2017-036S;42781;Satish Dhawan Space Centre;;
2021-006AS;47453;Cape Canaveral;;
2018-111N;43888;Vostochny Cosmodrome;;
2017-008AV;41991;Satish Dhawan Space Centre;;
2020-061AV;46315;Guiana Space Center;;
2017-036G;42771;Satish Dhawan Space Centre;;
2020-068Q;46500;Plesetsk Cosmodrome;;
2017-008AX;41993;Satish Dhawan Space Centre;;
2016-062D;41872;Wallops Island Flight Facility;;
2021-034F;48273;Guiana Space Center;;
2017-008AY;41994;Satish Dhawan Space Centre;;
2017-019E;42755;International Space Station - Cygnus;;
2020-061AX;46317;Guiana Space Center;;
2023-001J;55017;Cape Canaveral;;
2020-068S;46502;Plesetsk Cosmodrome;;
2017-008BC;41998;Satish Dhawan Space Centre;;
2018-010E;43167;Rocket Lab Launch Complex 1;;
2022-057A;52732;Cape Canaveral;;
2018-014F;43185;Vostochny Cosmodrome;;
2019-089M;44863;Satish Dhawan Space Centre;;
2018-111H;43883;Vostochny Cosmodrome;;
2018-046H;43561;Cygnus;;
2018-014D;43183;Vostochny Cosmodrome;;
2020-061AY;46318;Guiana Space Center;;
2022-057B;52733;Cape Canaveral;;
2019-018K;44087;Satish Dhawan Space Centre;;
2018-096AD;43746;Satish Dhawan Space Centre;;
2018-046E;43558;Cygnus;;
2020-081F;46910;Satish Dhawan Space Centre;;
2019-038S;44402;Vostochny Cosmodrome;;
2016-062F;41874;Wallops Island Flight Facility;;
2016-062C;41871;Wallops Island Flight Facility;;
2017-036H;42772;Satish Dhawan Space Centre;;
2019-038AE;44414;Vostochny Cosmodrome;;
2017-071J;43045;International Space Station - Cygnus;;
2018-046G;43560;Cygnus;;
2017-042W;42845;Baikonur Cosmodrome;;
2018-111L;43886;Vostochny Cosmodrome;;
2018-088F;43695;Rocket Lab Launch Complex 1;;
2019-036X;44360;Cape Canaveral;;
2018-004C;43113;Satish Dhawan Space Centre;;
2015-049K;40908;Taiyuan Launch Center;;
2021-059Z;48902;Cape Canaveral;;
2021-059AA;48903;Cape Canaveral;;
2014-051A;40136;Jiuquan Satellite Launch Center;;
2019-005A;43942;Jiuquan Satellite Launch Center;;
2021-117D;49815;Jiuquan Satellite Launch Center;;
2017-077A;43034;Jiuquan Satellite Launch Center;;
2017-084A;43080;Jiuquan Satellite Launch Center;;
2018-006A;43146;Jiuquan Satellite Launch Center;;
2018-025A;43236;Jiuquan Satellite Launch Center;;
2023-054AU;56220;Vandenberg AFB;;
2023-054AT;56219;Vandenberg AFB;;
2020-051B;54940;Taiyuan Launch Center;;
2009-063A;36095;Plesetsk Cosmodrome;;
2017-076A;43032;Plesetsk Cosmodrome;;
2018-082A;43657;Plesetsk Cosmodrome;;
2021-008A;47546;Plesetsk Cosmodrome;;
2022-036A;52202;Plesetsk Cosmodrome;;
2014-086A;40358;Plesetsk Cosmodrome;;
2015-057A;40958;Jiuquan Satellite Launch Center;;
2020-089A;47202;Tanegashima Space Center;;
2011-074B;37951;Baikonur Cosmodrome;;
2012-061A;38977;Baikonur Cosmodrome;;
2023-031A;55841;Baikonur Cosmodrome;;
2014-023A;39727;Baikonur Cosmodrome;;
2014-058A;40258;Baikonur Cosmodrome;;
2019-038W;44406;Vostochny Cosmodrome;;
2022-007A;51284;Jiuquan Satellite Launch Center;;
2022-018A;51822;Jiuquan Satellite Launch Center;;
2018-111AJ;43908;Vostochny Cosmodrome;;
2018-048B;43485;Jiuquan Satellite Launch Center;;
2023-007C;55250;Taiyuan Launch Center;;
2023-001AP;55046;Cape Canaveral;;
2023-001AB;55034;Cape Canaveral;;
2020-011D;45605;Cygnus;;
2022-033F;52162;Cape Canaveral;;
2021-059BM;48938;Cape Canaveral;;
2011-061F;37855;Vandenberg AFB;;
2016-040G;41605;Satish Dhawan Space Centre;;
2021-059AE;48907;Cape Canaveral;;
2021-059AF;38908;Cape Canaveral;;
2001-056D;27004;Baikonur Cosmodrome;;
2017-036P;42778;Satish Dhawan Space Centre;;
2022-002M;50995;Cape Canaveral;;
2022-002BU;51050;Cape Canaveral;;
2022-002BG;51038;Cape Canaveral;;
2009-032A;35362;Baikonur Cosmodrome;;
2014-054B;40147;Guiana Space Center;;
2022-067B;52904;Guiana Space Center;;
2011-058A;37838;Satish Dhawan Space Centre;;
2023-001B;55010;Cape Canaveral;;
2018-064A;43587;Cape Canaveral;;
1994-054A;23223;Cape Canaveral;;
1996-026A;23855;Cape Canaveral;;
2014-020A;39652;Cape Canaveral;;
2022-030A;52146;Plesetsk Cosmodrome;;
2010-058A;37212;Plesetsk Cosmodrome;;
2011-018A;37398;Plesetsk Cosmodrome;;
2012-063A;38995;Plesetsk Cosmodrome;;
2014-069A;40296;Plesetsk Cosmodrome;;
2019-046A;44453;Plesetsk Cosmodrome;;
2020-015A;45254;Plesetsk Cosmodrome;;
2019-081C;44806;Satish Dhawan Space Centre;;
2019-038A;44387;Vostochny Cosmodrome;;
2014-037A;40069;Baikonur Cosmodrome;;
2012-035B;38552;Guiana Space Center;;
2015-034A;40732;Guiana Space Center;;
2002-040B;27509;Guiana Space Center;;
2005-049B;28912;Guiana Space Center;;
2012-049A;38771;Baikonur Cosmodrome;;
2018-087A;43689;Guiana Space Center;;
2019-067B;44625;Baikonur Cosmodrome;;
2020-056B;46113;Guiana Space Center;;
2012-075B;39035;Guiana Space Center;;
2015-056A;40946;Cape Canaveral;;
2020-068D;46489;Plesetsk Cosmodrome;;
2019-003D;43935;Uchinoura Space Center;;
2018-004W;43131;Satish Dhawan Space Centre;;
2016-026A;41464;Vostochny Cosmodrome;;
1994-009A;22988;Cape Canaveral;;
2001-009A;26715;Cape Canaveral;;
2002-001A;27168;Cape Canaveral;;
2003-012A;27711;Cape Canaveral;;
2022-137A;54109;Plesetsk Cosmodrome;;
2022-137B;54110;Plesetsk Cosmodrome;;
2015-011A;40482;Cape Canaveral;;
2015-011B;40483;Cape Canaveral;;
2015-011C;40484;Cape Canaveral;;
2015-011D;40485;Cape Canaveral;;
2017-070A;43005;Guiana Space Center;;
2018-095A;43717;Guiana Space Center;;
2021-068A;49052;Rocket Lab Launch Complex 1;;
2003-031D;27843;Plesetsk Cosmodrome;;
2018-099Y;43780;Vandenberg AFB;;
2003-042A;27939;Plesetsk Cosmodrome;;
2019-018AF;44109;Satish Dhawan Space Centre;;
1995-019A;23553;Cape Canaveral;;
2012-009A;38093;Cape Canaveral;;
2013-036A;39206;Cape Canaveral;;
2015-002A;40374;Cape Canaveral;;
2015-044A;40887;Cape Canaveral;;
2016-041A;41622;Cape Canaveral;;
2022-047AB;52419;Rocket Lab Launch Complex 1;;
2017-042V;42844;Baikonur Cosmodrome;;
2004-049B;28493;Guiana Space Center;;
2009-041E;35685;Baikonur Cosmodrome;;
2021-022X;47953;Baikonur Cosmodrome;;
2023-003E;55137;Jiuquan Satellite Launch Center;;
2020-061BA;46320;Guiana Space Center;;
2021-059CN;48963;Cape Canaveral;;
2019-022E;44415;Cape Canaveral;;
2010-022A;36585;Cape Canaveral;;
2015-033A;40730;Cape Canaveral;;
2015-062A;41019;Cape Canaveral;;
2016-007A;41328;Cape Canaveral;;
2012-053A;38833;Cape Canaveral;;
2013-023A;39166;Cape Canaveral;;
2014-008A;39533;Cape Canaveral;;
2014-026A;39741;Cape Canaveral;;
2014-045A;40105;Cape Canaveral;;
2014-068A;40294;Cape Canaveral;;
2015-013A;40534;Cape Canaveral;;
2011-036A;37753;Cape Canaveral;;
2018-109A;43873;Cape Canaveral;;
2019-056A;44506;Cape Canaveral;;
2020-041A;45854;Cape Canaveral;;
2020-078A;46826;Cape Canaveral;;
2021-054A;48859;Cape Canaveral;;
2023-009A;55268;Cape Canaveral;;
1997-035A;24876;Cape Canaveral;;
1999-055A;25933;Cape Canaveral;;
2000-025A;26360;Cape Canaveral;;
2000-040A;26407;Cape Canaveral;;
2000-071A;26605;Cape Canaveral;;
2001-004A;26690;Cape Canaveral;;
2003-005A;27663;Cape Canaveral;;
2003-010A;27704;Cape Canaveral;;
2006-042A;29486;Cape Canaveral;;
2006-052A;29601;Cape Canaveral;;
2007-047A;32260;Cape Canaveral;;
2007-062A;32384;Cape Canaveral;;
2008-012A;32711;Cape Canaveral;;
2009-043A;35752;Cape Canaveral;;
2005-038A;28874;Cape Canaveral;;
2004-045A;28474;Cape Canaveral;;
2004-009A;28190;Cape Canaveral;;
2015-049G;40905;Taiyuan Launch Center;;
2022-011A;51511;Plesetsk Cosmodrome;;
2020-061F;46277;Guiana Space Center;;
2021-033F;48253;Taiyuan Launch Center;;
2013-009D;39089;Satish Dhawan Space Centre;;
2021-059CR;48966;Cape Canaveral;;
2022-072C;52937;Satish Dhawan Space Centre;;
2020-068W;46506;Plesetsk Cosmodrome;;
2020-068X;46507;Plesetsk Cosmodrome;;
2020-068V;46505;Plesetsk Cosmodrome;;
2020-068U;46504;Plesetsk Cosmodrome;;
2018-099BF;43811;Vandenberg AFB;;
2019-003F;43937;Uchinoura Space Center;;
2011-077A;38014;Xichang Satellite Launch Center;;
2011-044B;37789;Dombarovsky Air Base;;
2011-044C;37790;Dombarovsky Air Base;;
2010-037A;36830;Guiana Space Center;;
2022-061A;52817;Cape Canaveral;;
2008-044A;33373;Baikonur Cosmodrome;;
2009-050A;35873;Baikonur Cosmodrome;;
2012-026A;38342;Baikonur Cosmodrome;;
2019-076A;44779;Taiyuan Launch Center;;
2019-076B;44780;Taiyuan Launch Center;;
2019-076C;44781;Taiyuan Launch Center;;
2019-076D;44782;Taiyuan Launch Center;;
2019-076E;44783;Taiyuan Launch Center;;
2021-064A;49018;Taiyuan Launch Center;;
2021-064B;49019;Taiyuan Launch Center;;
2021-064C;49020;Taiyuan Launch Center;;
2021-064D;49021;Taiyuan Launch Center;;
2021-064E;49022;Taiyuan Launch Center;;
2017-036B;42766;Satish Dhawan Space Centre;;
2019-009A;44048;Cape Canaveral;;
1998-030A;25338;Vandenberg AFB;;
2005-018A;28654;Vandenberg AFB;;
2009-005A;33591;Vandenberg AFB;;
2017-073A;43013;Vandenberg AFB;;
2022-024A;51954;Shahroud Missile Range;;
2020-068J;46494;Plesetsk Cosmodrome;;
2017-042B;42826;Baikonur Cosmodrome;;
2017-042D;42828;Baikonur Cosmodrome;;
2021-034E;48272;Guiana Space Center;;
2023-054S;56194;Vandenberg AFB;;
2018-071B;43619;Satish Dhawan Space Centre;;
2011-061A;37849;Vandenberg AFB;;
2019-036B;44340;Cape Canaveral;;
2020-037A;45723;Rocket Lab Launch Complex 1;;
2020-037B;45724;Rocket Lab Launch Complex 1;;
2020-037C;45725;Rocket Lab Launch Complex 1;;
2020-046A;45873;Wallops Island Flight Facility;;
2020-046B;45874;Wallops Island Flight Facility;;
2020-046C;45875;Wallops Island Flight Facility;;
2020-046D;45876;Wallops Island Flight Facility;;
2020-007A;45110;Rocket Lab Launch Complex 1;;
2022-079A;53102;Rocket Lab Launch Complex 1;;
2022-091A;53352;Rocket Lab Launch Complex 1;;
2017-022A;42689;Cape Canaveral;;
2022-040A;52259;Vandenberg AFB;;
2022-009A;51445;Vandenberg AFB;;
2019-038E;44391;Vostochny Cosmodrome;;
2023-001BL;55067;Cape Canaveral;;
2005-003A;28526;Baikonur Cosmodrome;;
2000-059A;26554;Baikonur Cosmodrome;;
2009-058A;36032;Guiana Space Center;;
2002-057A;27603;Guiana Space Center;;
2002-019A;27414;Guiana Space Center;;
2009-008A;33749;Guiana Space Center;;
2020-079F;46832;Taiyuan Launch Center;;
2020-079C;46829;Taiyuan Launch Center;;
2020-079A;46827;Taiyuan Launch Center;;
2020-079G;46833;Taiyuan Launch Center;;
2020-079E;46831;Taiyuan Launch Center;;
2020-079D;46830;Taiyuan Launch Center;;
2020-079P;46840;Taiyuan Launch Center;;
2020-079J;46835;Taiyuan Launch Center;;
2020-079K;46836;Taiyuan Launch Center;;
2021-059AC;48905;Cape Canaveral;;
2021-059AU;48921;Cape Canaveral;;
2021-059AT;48920;Cape Canaveral;;
2021-059AS;48919;Cape Canaveral;;
2022-033M;52168;Cape Canaveral;;
2022-033X;52178;Cape Canaveral;;
2022-033Q;52171;Cape Canaveral;;
2022-033AD;52184;Cape Canaveral;;
2022-033R;52172;Cape Canaveral;;
2022-057R;52747;Cape Canaveral;;
2022-057AJ;52764;Cape Canaveral;;
2017-034C;42760;Jiuquan Satellite Launch Center;;
2022-057S;52748;Cape Canaveral;;
2022-057W;52752;Cape Canaveral;;
2023-001BH;55064;Cape Canaveral;;
2023-001AQ;55047;Cape Canaveral;;
2023-001AN;55045;Cape Canaveral;;
2023-001AR;55048;Cape Canaveral;;
2023-054N;56190;Vandenberg AFB;;
2023-054Z;56201;Vandenberg AFB;;
2023-054AA;56202;Vandenberg AFB;;
2023-054AB;56203;Vandenberg AFB;;
2018-015D;43195;Jiuquan Satellite Launch Center;;
2018-015K;43204;Jiuquan Satellite Launch Center;;
2020-061A;46272;Guiana Space Center;;
2020-003B;45017;Taiyuan Launch Center;;
2020-003C;45018;Taiyuan Launch Center;;
2020-079B;46828;Taiyuan Launch Center;;
2012-031A;38358;Kwajalein Island;;
2010-062C;37224;Kodiak Launch Complex;;
2013-031C;39190;Guiana Space Center;;
2014-038A;40079;Guiana Space Center;;
2013-031B;39189;Guiana Space Center;;
2013-031A;39188;Guiana Space Center;;
2014-038B;40080;Guiana Space Center;;
2014-038C;40081;Guiana Space Center;;
2014-038D;40082;Guiana Space Center;;
2014-083D;40351;Guiana Space Center;;
2014-083A;40348;Guiana Space Center;;
2014-083B;40349;Guiana Space Center;;
2014-083C;40350;Guiana Space Center;;
2018-024D;43234;Guiana Space Center;;
2018-024C;43233;Guiana Space Center;;
2018-024A;43231;Guiana Space Center;;
2018-024B;43232;Guiana Space Center;;
2019-020C;44114;Guiana Space Center;;
2019-020D;44115;Guiana Space Center;;
2019-020B;44113;Guiana Space Center;;
2019-020A;44112;Guiana Space Center;;
2013-031D;39191;Guiana Space Center;;
2014-035A;40059;Vandenberg AFB;;
2019-036T;44356;Cape Canaveral;;
2001-007A;26702;Svobodny Cosmodrome;;
2021-051A;48844;Vandenberg AFB;;
2014-019A;39650;Palmachim Launch Complex ;;
2016-056A;41759;Palmachim Launch Complex ;;
2023-044A;56083;Palmachim Launch Complex ;;
2020-044A;45860;Palmachim Launch Complex ;;
2002-025A;27434;Palmachim Launch Complex ;;
2007-025A;31601;Palmachim Launch Complex ;;
2010-031A;36608;Palmachim Launch Complex ;;
2019-010A;44057;Guiana Space Center;;
2019-010D;44058;Guiana Space Center;;
2019-010C;44059;Guiana Space Center;;
2019-010B;44060;Guiana Space Center;;
2019-010E;44061;Guiana Space Center;;
2019-010F;44062;Guiana Space Center;;
2020-008A;45131;Baikonur Cosmodrome;;
2020-008B;45132;Baikonur Cosmodrome;;
2020-020L;45434;Baikonur Cosmodrome;;
2020-020AB;45449;Baikonur Cosmodrome;;
2020-008C;45133;Baikonur Cosmodrome;;
2020-008D;45134;Baikonur Cosmodrome;;
2020-008E;45135;Baikonur Cosmodrome;;
2020-008F;45136;Baikonur Cosmodrome;;
2020-008G;45137;Baikonur Cosmodrome;;
2020-008H;45138;Baikonur Cosmodrome;;
2020-008J;45139;Baikonur Cosmodrome;;
2020-020J;45432;Baikonur Cosmodrome;;
2020-008K;45140;Baikonur Cosmodrome;;
2020-020X;45445;Baikonur Cosmodrome;;
2020-020H;45431;Baikonur Cosmodrome;;
2020-008L;45141;Baikonur Cosmodrome;;
2020-008M;45142;Baikonur Cosmodrome;;
2020-020AG;45454;Baikonur Cosmodrome;;
2020-008N;45143;Baikonur Cosmodrome;;
2020-008P;45144;Baikonur Cosmodrome;;
2020-020S;45440;Baikonur Cosmodrome;;
2020-008Q;45145;Baikonur Cosmodrome;;
2020-008R;45146;Baikonur Cosmodrome;;
2020-008S;45147;Baikonur Cosmodrome;;
2020-008T;45148;Baikonur Cosmodrome;;
2020-020T;45441;Baikonur Cosmodrome;;
2020-008U;45149;Baikonur Cosmodrome;;
2020-008V;45150;Baikonur Cosmodrome;;
2020-008W;45151;Baikonur Cosmodrome;;
2020-020Z;45447;Baikonur Cosmodrome;;
2020-008X;45152;Baikonur Cosmodrome;;
2020-008Y;45153;Baikonur Cosmodrome;;
2020-008Z;45154;Baikonur Cosmodrome;;
2020-020AF;45453;Baikonur Cosmodrome;;
2020-008AA;45155;Baikonur Cosmodrome;;
2020-008AB;45156;Baikonur Cosmodrome;;
2020-008AC;45157;Baikonur Cosmodrome;;
2020-008AD;45158;Baikonur Cosmodrome;;
2020-020V;45443;Baikonur Cosmodrome;;
2020-008AE;45159;Baikonur Cosmodrome;;
2020-008AF;45160;Baikonur Cosmodrome;;
2020-008AG;45161;Baikonur Cosmodrome;;
2020-008AH;45162;Baikonur Cosmodrome;;
2020-020AH;45455;Baikonur Cosmodrome;;
2020-020E;45428;Baikonur Cosmodrome;;
2020-008AJ;45163;Baikonur Cosmodrome;;
2020-020AA;45448;Baikonur Cosmodrome;;
2020-020K;45433;Baikonur Cosmodrome;;
2020-008AK;45164;Baikonur Cosmodrome;;
2020-020A;45424;Baikonur Cosmodrome;;
2020-020B;45425;Baikonur Cosmodrome;;
2020-020Y;45446;Baikonur Cosmodrome;;
2020-020G;45430;Baikonur Cosmodrome;;
2020-020C;45426;Baikonur Cosmodrome;;
2020-020F;45429;Baikonur Cosmodrome;;
2020-020AE;45452;Baikonur Cosmodrome;;
2020-020M;45435;Baikonur Cosmodrome;;
2020-020Q;45438;Baikonur Cosmodrome;;
2020-020AJ;45456;Baikonur Cosmodrome;;
2020-020AD;45451;Baikonur Cosmodrome;;
2020-020AK;45457;Baikonur Cosmodrome;;
2020-020D;45427;Baikonur Cosmodrome;;
2020-020P;45437;Baikonur Cosmodrome;;
2020-020W;45444;Baikonur Cosmodrome;;
2020-020AC;45450;Baikonur Cosmodrome;;
2020-020N;45436;Baikonur Cosmodrome;;
2020-020R;45439;Baikonur Cosmodrome;;
2020-020U;45442;Baikonur Cosmodrome;;
2021-025H ;48049;Vostochny Cosmodrome;;
2020-100A;47258;Vostochny Cosmodrome;;
2021-025G ;48048;Vostochny Cosmodrome;;
2021-025AL ;48076;Vostochny Cosmodrome;;
2020-100B;47259;Vostochny Cosmodrome;;
2020-100C;47260;Vostochny Cosmodrome;;
2020-100D;47261;Vostochny Cosmodrome;;
2021-025K ;48051;Vostochny Cosmodrome;;
2021-025J ;48050;Vostochny Cosmodrome;;
2020-100E;47262;Vostochny Cosmodrome;;
2021-025A ;48042;Vostochny Cosmodrome;;
2021-025E ;48046;Vostochny Cosmodrome;;
2020-100F;47263;Vostochny Cosmodrome;;
2020-100G;47264;Vostochny Cosmodrome;;
2020-100H;47265;Vostochny Cosmodrome;;
2020-100J;47266;Vostochny Cosmodrome;;
2020-100K;47267;Vostochny Cosmodrome;;
2020-100L;47268;Vostochny Cosmodrome;;
2020-100M;47269;Vostochny Cosmodrome;;
2020-100N;47270;Vostochny Cosmodrome;;
2020-100P;47271;Vostochny Cosmodrome;;
2020-100Q;47272;Vostochny Cosmodrome;;
2020-100R;47273;Vostochny Cosmodrome;;
2020-100S;47274;Vostochny Cosmodrome;;
2020-100T;47275;Vostochny Cosmodrome;;
2020-100U;47276;Vostochny Cosmodrome;;
2020-100V;47277;Vostochny Cosmodrome;;
2020-100W;47278;Vostochny Cosmodrome;;
2020-100X;47279;Vostochny Cosmodrome;;
2020-100Y;47280;Vostochny Cosmodrome;;
2020-100Z;47281;Vostochny Cosmodrome;;
