officialName;COSPAR_number;NORAD_number;id_t;detailedPurpose;orbitSat;typeOrbitSat;longitudeGEO;perihelionSat;aphelionSat;eccentricitySat;inclinationSat;periodSat;drymass;power;expectedLifetime;launchSite;launchVehicle
ICEYE-X4;2019-038D;44390;253;Radar Imaging;LEO;Sun-Synchronous;0;564;594;2,16E-03;97,7;96,2;;;;Vostochny Cosmodrome;Soyuz-2.1b
ICEYE-X5;2019-038C;44389;253;Radar Imaging;LEO;Sun-Synchronous;0;564;590;1,87E-03;97,7;96,2;;;;Vostochny Cosmodrome;Soyuz-2.1b
ICEYE-X6;2020-068M;46497;253;Radar Imaging;LEO;Sun-Synchronous;0;549;568;1,37E-03;97,7;95,8;;;;Plesetsk Cosmodrome;Soyuz-2.1b
ICEYE-X7;2020-068L;46496;253;Radar Imaging;LEO;Sun-Synchronous;0;549;567;1,30E-03;97,7;95,8;;;;Plesetsk Cosmodrome;Soyuz-2.1b
ICEYE-X8;2021-006DB;47510;253;Radar Imaging;LEO;Sun-Synchronous;0;515;534;1,38E-03;97,5;95,1;;;;Cape Canaveral;Falcon 9
ICEYE-X9;2021-006CX;47506;253;Radar Imaging;LEO;Sun-Synchronous;0;523;536;9,42E-04;97,5;95,2;;;;Cape Canaveral;Falcon 9
ICON;2019-068A;44628;253;Radar Imaging;LEO;Non-Polar Inclined;0;579;601;1,58E-03;27;96,5;;;;Stargazer L-1011;Pegasus
IGS Optical 5;2015-015A;40538;253;Optical Imaging;LEO;Sun-Synchronous;0;511;515;2,91E-04;97,5;95,2;;;5;Tanegashima Space Center;H2A
IGS Optical 6;2018-021A;43223;253;Optical Imaging;LEO;Sun-Synchronous;0;485;499;1,02E-03;97,2;94,5;;;5;Tanegashima Space Center;H2A
IGS Optical 7;2020-009A;45165;253;Optical Imaging;LEO;Sun-Synchronous;0;487;493;4,37E-04;97,4;94,4;;;5;Tanegashima Space Center;H2A
IGS Radar 5;2017-015A;42072;253;Radar Imaging;LEO;Sun-Synchronous;0;485;499;1,02E-03;97,2;94,5;;;5;Tanegashima Space Center;H2A
IGS Radar 6;2018-052A;43495;253;Radar Imaging;LEO;Sun-Synchronous;0;500;500;0,00E+00;97,3;94,6;;;5;Tanegashima Space Center;H2A
IGS Radar 7;2023-012A;55329;253;Radar Imaging;LEO;Sun-Synchronous;0;477;479;1,46E-04;97,3;94,3;" 	1.000 ";;5;Tanegashima Space Center;H2A
IGS-6A;2011-050A;37813;253;Optical Imaging;LEO;Sun-Synchronous;0;588;591;2,16E-04;97,69;96,47;;;5;Tanegashima Space Center;H2A
IGS-7A;2011-075A;37954;253;Radar Imaging;LEO;Sun-Synchronous;0;512;514;1,45E-04;97,46;94,89;;;5;Tanegashima Space Center;H2A
IGS-8A;2013-002A;39061;253;Radar Imaging;LEO;Sun-Synchronous;0;509;514;3,63E-04;97,5;94,85;;;5;Tanegashima Space Center;H2A
IGS-8B;2013-002B;39062;253;Optical Imaging;LEO;Sun-Synchronous;0;512;523;7,99E-04;97,5;94,85;;;5;Tanegashima Space Center;H2A
IGS-9A;2015-004A;40381;253;Radar Imaging;LEO;Sun-Synchronous;0;510;510;0,00E+00;97,5;94,85;;;5;Tanegashima Space Center;H2A
İMECE;2023-054A;56178;253;Multispectral Imaging;LEO;Sun-Synchronous;0;668;679;7,81E-04;98,1;95;" 	780 ";;5;Vandenberg AFB;Falcon 9
USA 184;2006-027A;29249;253;Electronic Intelligence;Elliptical;Molniya;0;1.111;37.564;7,09E-01;63;684;;;;Vandenberg AFB;Delta 4
USA 200;2008-010A;32706;253;Electronic Intelligence;Elliptical;Molniya;0;1.112;37.580;7,09E-01;63,56;684;;;;Vandenberg AFB;Atlas 5
USA 259;2014-081A;40344;253;Electronic Intelligence;Elliptical;Molniya;0;2.103;37.746;6,78E-01;62,85;707,55;;;;Vandenberg AFB;Atlas 5
USA 278;2017-056A;42941;253;Electronic Intelligence;Elliptical;Molniya;0;1.738;38.111;6,92E-01;63,8;707,7;;;;Vandenberg AFB;Atlas 5
INMARSAT 3 F3;1996-070A;24674;253;;GEO;;178,2;35.761;35.810;5,81E-04;0,09;1436,07;" 	860 ";;13;Cape Canaveral;Atlas
INMARSAT 3 F5;1998-006B;25153;253;;GEO;;25,07;35.769;35.803;4,03E-04;0,04;1436,07;" 	895 ";2800;13;Guiana Space Center;Ariane 44L
INMARSAT 4 F1;2005-009A;28628;253;;GEO;;63,96;35.772;35.799;3,20E-04;2,3;1436,08;;13000;15;Cape Canaveral;Atlas 5
INMARSAT 4 F2;2005-044A;28899;253;;GEO;;-52,76;35.773;35.800;3,20E-04;2,33;1436,11;;13000;15;Sea Launch Odyssey;Zenit 3SL
INMARSAT 4 F3;2008-039A;33278;253;;GEO;;-97,65;35.775;35.798;2,73E-04;3,01;1436,1;;13000;15;Baikonur Cosmodrome;Proton M
INMARSAT 4-A F4;2013-038A;39215;253;;GEO;;25;35.786;35.787;1,19E-05;0,02;1436,09;" 	3.370 ";12000;15;Guiana Space Center;Ariane 5 ECA
INMARSAT 5 F1;2013-073A;39476;253;;GEO;;60,3;35.784;35.790;7,12E-05;0,06;1436,13;" 	3.750 ";13000;15;Baikonur Cosmodrome;Proton M
INMARSAT 5 F2;2015-005A;40384;253;;GEO;;-55;35.784;35.789;5,93E-05;0,03;1436;" 	3.360 ";13000;15;Baikonur Cosmodrome;Proton M
INMARSAT 5 F3;2015-042A;40882;253;;GEO;;180;35.780;35.780;0,00E+00;0;1436,1;;15000;15;Baikonur Cosmodrome;Proton M
INMARSAT 5 F4;2017-025A;42698;253;;GEO;;83,5;35.782;35.789;8,30E-05;0;1436,08;;;15;Cape Canaveral;Falcon 9
INMARSAT 5 F5;2019-080B;44801;253;;GEO;;11;35.672;35.686;1,66E-04;0,08;1430;;;15;Guiana Space Center;Ariane 5 ECA
INMARSAT 6 F1;2021-128A;50319;253;;GEO;;60;35.785;35.786;1,19E-05;0;1436,1;" 	4.000 ";;15;Tanegashima Space Center;H2A
INMARSAT 6F2;2023-022A;55683;253;;GEO;;28;35.785;35.786;1,19E-05;0;1436,1;" 	4.000 ";;15;Cape Canaveral;Falcon 9
INNOSat-2;2018-096V;43738;253;;LEO;Sun-Synchronous;0;476;500;1,75E-03;97,5;95;;;;Satish Dhawan Space Centre;PSLV
INS-1A;2017-008B;41949;253;Optical Imaging;LEO;Sun-Synchronous;0;496;508;8,73E-04;97,5;94,6;;;;Satish Dhawan Space Centre;PSLV XL
INS-1B;2017-008G;41954;253;Optical Imaging;LEO;Sun-Synchronous;0;496;508;8,73E-04;97,5;94,6;;;;Satish Dhawan Space Centre;PSLV XL
INS-1C;2018-004F;43116;253;;LEO;Sun-Synchronous;0;495;508;9,46E-04;97,5;94,6;;;0,5;Satish Dhawan Space Centre;PSLV
INS-2TD;2022-013C;51658;253;Thermal Imaging;LEO;Sun-Synchronous;0;520;533;9,43E-04;97,5;94,6;;;;Satish Dhawan Space Centre;PSLV-XL
INSAT 3D;2013-038B;39216;253;Meteorology;GEO;;82;35.782;35.791;1,07E-04;0,24;1436,09;;;;Guiana Space Center;Ariane 5 ECA
INSAT 3DR;2016-054A;41752;253;Meteorology;GEO;;74;35.722;35.851;1,53E-03;0,03;1436,1;;;10;Satish Dhawan Space Centre;GSLV Mk.2
InspireSat-1;2022-013B;51657;253;;LEO;Sun-Synchronous;0;520;533;9,43E-04;97,6;95,4;;;;Satish Dhawan Space Centre;PSLV XL
InspireSat-7;2023-054AK;56211;253;;LEO;Sun-Synchronous;0;487;507;1,46E-03;97,4;95,4;" 	3 ";;;Vandenberg AFB;Falcon 9
INTEGRAL;2002-048A;27540;253;;Elliptical;Deep Highly Eccentric;0;6.292;156.833;8,56E-01;53,95;4032,86;" 	3.414 ";2000;2;Baikonur Cosmodrome;Proton
Intelsat 10;2001-019A;26766;253;;GEO;;68,52;35.776;35.796;2,37E-04;0,04;1436,08;" 	2.510 ";9600;15;Baikonur Cosmodrome;Proton
Intelsat 10-02;2004-022A;28358;253;;GEO;;-10;35.783;35.789;7,12E-05;0,02;1436,08;;11000;13;Baikonur Cosmodrome;Proton
Intelsat 11;2007-044B;32253;253;;GEO;;-43,06;35.778;35.795;2,02E-04;0,03;1436,1;;;15;Guiana Space Center;Ariane 5
Intelsat 12;2000-068A;26590;253;;GEO;;45,04;35.776;35.796;2,37E-04;0;1436,09;" 	1.729 ";12000;18;Guiana Space Center;Ariane 44LP
Intelsat 14;2009-064A;36097;253;;GEO;;-45;35.771;35.800;3,44E-04;0,02;1436,05;" 	2.517 ";;16;Cape Canaveral;Atlas
Intelsat 15;2009-067A;36106;253;;GEO;;85;35.776;35.798;2,61E-04;0,05;1436,12;;4600;17;Baikonur Cosmodrome;Zenit 3SLB
Intelsat 16;2010-006A;36397;253;;GEO;;-58,12;35.783;35.791;9,49E-05;0,07;1436,19;;4500;15;Baikonur Cosmodrome;Proton M
Intelsat 17;2010-065B;37238;253;;GEO;;66;35.770;35.804;4,03E-04;0,03;1436,12;" 	2.393 ";;16;Guiana Space Center;Ariane 5
Intelsat 18;2011-056A;37834;253;;GEO;;180;35.775;35.797;2,61E-04;0,01;1436,09;;;15;Baikonur Cosmodrome;Zenit
Intelsat 19;2012-030A;38356;253;;GEO;;166;35.768;35.801;3,91E-04;0,13;1436,01;;15000;15;Sea Launch Odyssey;Zenit
Intelsat 1R;2000-072A;26608;253;;GEO;;-44,96;35.785;35.788;3,56E-05;0,06;1436,11;" 	3.000 ";15000;15;Guiana Space Center;Ariane 5
Intelsat 20;2012-043A;38740;253;;GEO;;68,5;35.780;35.790;1,19E-04;0,02;1436,03;" 	2.989 ";19300;18;Guiana Space Center;Ariane 5 ECA
Intelsat 21;2012-045A;38749;253;;GEO;;-58;35.774;35.811;4,39E-04;0,06;1436,39;" 	3.600 ";;15;Sea Launch Odyssey;Zenit 3SL
Intelsat 22;2012-011A;38098;253;;GEO;;72;35.781;35.792;1,30E-04;0,03;1436,11;;;18;Baikonur Cosmodrome;Proton
Intelsat 23;2012-057A;38867;253;;GEO;;-53;35.781;35.797;1,90E-04;0,03;1436,21;" 	1.503 ";;18;Baikonur Cosmodrome;Proton M
Intelsat 25;2008-034A;33153;253;;GEO;;-31,5;35.778;35.793;1,78E-04;0,02;1436,1;;11000;16;Guiana Space Center;Ariane 5 ECA
Intelsat 30/DLA 1;2014-062A;40271;253;;GEO;;-95;35.776;35.793;2,02E-04;0,03;1435,97;;;15;Guiana Space Center;Ariane 5 ECA
Intelsat 31/DLA 2;2016-035A;41581;253;;GEO;;-95;35.580;35.860;3,33E-03;0,01;1435,1;;;20;Baikonur Cosmodrome;Proton
Intelsat 33;2016-053B;41748;253;;GEO;;60;35.549;36.152;7,14E-03;0,04;1439,36;;;15;Guiana Space Center;Ariane 5
Intelsat 34;2015-039A;40874;253;;GEO;;-55,49;35.777;35.811;4,03E-04;0,1;1436,1;;;15;Guiana Space Center;Ariane 5
Intelsat 35E;2017-041A;42818;253;;GEO;;-34,5;35.778;35.794;1,90E-04;0;1436,09;;;15;Cape Canaveral;Falcon 9
Intelsat 36;2016-053A;41747;253;;GEO;;68,5;35.785;35.801;1,90E-04;0,1;1436,1;;;15;Guiana Space Center;Ariane 5
Intelsat 37E;2017-059A;42950;253;;GEO;;-18;35.775;35.795;2,37E-04;0,02;1436,1;;;15;Guiana Space Center;Ariane 5
Intelsat 39;2019-049B;44476;253;;GEO;;62;35.784;35.788;4,74E-05;0;1436,08;;;15;Guiana Space Center;Ariane 5
Intelsat 40e;2023-052A;56174;253;;GEO;;-90,99;35.774;35.798;2,85E-04;0;1436;" 	3.000 ";;15;Cape Canaveral;Falcon 9
Intelsat 5;1997-046A;24916;253;;GEO;;-156,9;35.774;35.798;2,85E-04;0,03;1436,09;" 	2.519 ";9700;15;Baikonur Cosmodrome;Proton K
Intelsat 9;2000-043A;26451;253;;GEO;;-29,5;35.782;35.792;1,19E-04;0,01;1436,14;" 	2.389 ";9900;15;Sea Launch Odyssey;Zenit 3SL
Intelsat 901;2001-024A;26824;253;;GEO;;-27,5;35.775;35.798;2,73E-04;0,01;1436,12;" 	1.972 ";10000;13;Cape Canaveral;Atlas 2AS
Intelsat 902;2001-039A;26900;253;;GEO;;62,05;35.775;35.797;2,61E-04;0,02;1436,1;" 	1.972 ";8500;13;Guiana Space Center;Ariane 44L
Intelsat 904;2002-007A;27380;253;;GEO;;60,05;35.782;35.789;8,30E-05;0,01;1436,07;" 	2.350 ";8500;13;Baikonur Cosmodrome;Proton K
Intelsat 905;2002-027A;27438;253;;GEO;;-24,52;35.768;35.805;4,39E-04;0,01;1436,12;" 	1.984 ";10000;13;Guiana Space Center;Ariane 44L
Intelsat 906;2002-041A;27513;253;;GEO;;64,19;35.775;35.796;2,49E-04;0,01;1436,07;" 	1.955 ";7000;13;Guiana Space Center;Ariane 44L
Intelsat New Dawn;2011-016A;37392;253;;GEO;;32,8;35.800;35.892;1,09E-03;0,05;1439,15;" 	1.283 ";4800;15;Guiana Space Center;Ariane 5
International Space Station;1998-067A;25544;253;;LEO;Non-Polar Inclined;0;401;422;1,55E-03;51,6;92,8;;;30;Baikonur Cosmodrome;Proton
Interstellar Boundary Explorer;2008-051A;33401;253;;Elliptical;Deep Highly Eccentric;0;62.200;268.679;6,01E-01;15,2;11520;;;;Kwajalein Island;Pegasus XL
ION SVC Lucas;2020-061C;46274;253;;LEO;Sun-Synchronous;0;521;535;1,01E-03;97,5;95;;;;Guiana Space Center;Vega
Iridium Next 102;2017-003D;41920;253;;LEO;Polar;0;609;621;8,59E-04;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 103;2017-003B;41918;253;;LEO;Polar;0;610;623;9,30E-04;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 104;2017-003F;41922;253;;LEO;Polar;0;608;622;1,00E-03;86,6;96,9;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 105;2017-003E;41921;253;;LEO;Polar;0;608;622;1,00E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 106;2017-003A;41917;253;;LEO;Polar;0;701;704;2,12E-04;86,5;98,8;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 107;2017-061F;42960;253;;LEO;Polar;0;610;626;1,14E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 108;2017-003H;41924;253;;LEO;Polar;0;608;622;1,00E-03;86,6;96,9;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 109;2017-003C;41919;253;;LEO;Polar;0;610;622;8,59E-04;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 110;2018-047F;43481;253;;LEO;Polar;0;488;718;1,65E-02;86,7;96,7;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 111;2017-003K;41926;253;;LEO;Polar;0;607;622;1,07E-03;86,6;96,9;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 112;2017-003J;41925;253;;LEO;Polar;0;607;622;1,07E-03;86,6;96,9;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 113;2017-039A;42803;253;;LEO;Polar;0;607;624;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 114;2017-003G;41923;253;;LEO;Polar;0;608;622;1,00E-03;86,6;96,9;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 115;2017-039D;42806;253;;LEO;Polar;0;606;623;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 116;2017-083C;43072;253;;LEO;Polar;0;611;627;1,14E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 117;2017-039F;42808;253;;LEO;Polar;0;606;623;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 118;2017-039E;42807;253;;LEO;Polar;0;608;625;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 119;2017-061E;42959;253;;LEO;Polar;0;610;626;1,14E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 120;2017-039C;42805;253;;LEO;Polar;0;607;624;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 121;2017-039K;42812;253;;LEO;Polar;0;608;625;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 122;2017-061C;42957;253;;LEO;Polar;0;611;626;1,07E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 123;2017-039B;42804;253;;LEO;Polar;0;607;624;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 124;2017-039H;42810;253;;LEO;Polar;0;608;625;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 125;2017-061K;42964;253;;LEO;Polar;0;609;626;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 126;2017-039G;42809;253;;LEO;Polar;0;606;623;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 127;2017-061B;42956;253;;LEO;Polar;0;611;626;1,07E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 128;2017-039J;42811;253;;LEO;Polar;0;609;625;1,14E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 129;2017-061D;42958;253;;LEO;Polar;0;611;626;1,07E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 130;2017-083D;43073;253;;LEO;Polar;0;611;626;1,07E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 131;2017-083K;43079;253;;LEO;Polar;0;611;626;1,07E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 132;2017-061G;42961;253;;LEO;Polar;0;609;626;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 133;2017-061A;42955;253;;LEO;Polar;0;622;635;9,29E-04;86,6;97,2;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 134;2017-083F;43075;253;;LEO;Polar;0;610;626;1,14E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 135;2017-083A;43070;253;;LEO;Polar;0;610;626;1,14E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 136;2017-061H;42962;253;;LEO;Polar;0;609;626;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 137;2017-083G;43076;253;;LEO;Polar;0;609;626;1,22E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 138;2017-083B;43071;253;;LEO;Polar;0;609;626;1,22E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 139;2017-061J;42963;253;;LEO;Polar;0;609;626;1,22E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 140;2018-030D;43252;253;;LEO;Polar;0;607;626;1,36E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 141;2017-083H;43077;253;;LEO;Polar;0;609;625;1,14E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium  Next 142;2018-030H;43256;253;;LEO;Polar;0;608;626;1,29E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 143;2018-030K;43258;253;;LEO;Polar;0;608;626;1,29E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 144;2018-030A;43249;253;;LEO;Polar;0;606;625;1,36E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 145;2018-030E;43253;253;;LEO;Polar;0;607;626;1,36E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 146;2018-030F;43254;253;;LEO;Polar;0;608;627;1,36E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 147;2018-047E;43480;253;;LEO;Polar;0;489;714;1,61E-02;86,7;96,7;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iriidium Next 148;2018-030G;43255;253;;LEO;Polar;0;606;625;1,36E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 149;2018-030B;43250;253;;LEO;Polar;0;608;626;1,29E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 150;2018-030J;43257;253;;LEO;Polar;0;606;626;1,43E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 151;2017-083E;43074;253;;LEO;Polar;0;609;625;1,14E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 152;2018-047D;43479;253;;LEO;Polar;0;493;710;1,56E-02;86,7;96,7;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 153;2017-083J;43078;253;;LEO;Polar;0;609;625;1,14E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 154;2018-061F;43574;253;;LEO;Polar;0;608;622;1,00E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 155;2018-061E;43573;253;;LEO;Polar;0;608;622;1,00E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 156;2018-061H;43576;253;;LEO;Polar;0;607;623;1,15E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 157;2018-030C;43251;253;;LEO;Polar;0;607;626;1,36E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 158;2018-061C;43571;253;;LEO;Polar;0;609;623;1,00E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridum Next 159;2018-061K;43578;253;;LEO;Polar;0;607;622;1,07E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 160;2018-061A;43569;253;;LEO;Polar;0;609;624;1,07E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 161;2018-047C;43478;253;;LEO;Polar;0;489;714;1,61E-02;86,7;96,7;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 162;2018-047G;43482;253;;LEO;Polar;0;491;715;1,61E-02;86,7;96,7;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 163;2018-061G;43575;253;;LEO;Polar;0;607;623;1,15E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 164;2018-061J;43577;253;;LEO;Polar;0;607;623;1,15E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 165;2018-061D;43572;253;;LEO;Polar;0;609;623;1,00E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 166;2018-061B;43570;253;;LEO;Polar;0;609;623;1,00E-03;86,6;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 167;2019-002K;43931;253;;LEO;Polar;0;612;625;9,30E-04;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 168;2019-002C;43924;253;;LEO;Polar;0;608;626;1,29E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 169;2019-002E;43926;253;;LEO;Polar;0;609;626;1,22E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 170;2019-002J;43930;253;;LEO;Polar;0;610;626;1,14E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 171;2019-002H;43929;253;;LEO;Polar;0;609;626;1,22E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 172;2019-002F;43927;253;;LEO;Polar;0;608;626;1,29E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 173;2019-002D;43925;253;;LEO;Polar;0;608;626;1,29E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 175;2019-002G;43928;253;;LEO;Polar;0;611;625;1,00E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 176;2019-002B;43923;253;;LEO;Polar;0;611;626;1,07E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
Iridium Next 180;2019-002A;43922;253;;LEO;Polar;0;611;626;1,07E-03;86,7;97;" 	678 ";50;15;Vandenberg AFB;Falcon 9
IRIS;2013-033A;39197;253;;LEO;Sun-Synchronous;0;620;664;3,14E-03;97,9;97,5;" 	678 ";50;2;Vandenberg AFB;L1011
IRIS-C;2023-054AV;56221;253;;LEO;Sun-Synchronous;0;488;509;1,53E-03;97,4;95;" 	3 ";;;Vandenberg AFB;Falcon 9
IRNSS-1A;2013-034A;39199;253;;GEO;;55;35.712;35.872;1,90E-03;27,1;1436;" 	614 ";1660;12;Satish Dhawan Space Centre;PSLV
IRNSS-1B;2014-017A;39635;253;;GEO;;55;35.695;35.880;2,19E-03;30,97;1436,14;" 	615 ";1660;12;Satish Dhawan Space Centre;PSLV
IRNSS-1C;2014-061A;40269;253;;GEO;;83;35.690;35.871;2,15E-03;4,96;1435,8;" 	598 ";1660;12;Satish Dhawan Space Centre;PSLV-XL
IRNSS-1D;2015-018A;40547;253;;GEO;;111,7;35.699;35.834;1,60E-03;30,04;1435,06;" 	598 ";1600;12;Satish Dhawan Space Centre;PSLV-C27
IRNSS-1E;2016-003A;41241;253;;GEO;;111,7;35.695;35.874;2,12E-03;28,09;1436,01;" 	598 ";1600;12;Satish Dhawan Space Centre;PSLV-XL
IRNSS-1F;2016-015A;41384;253;;GEO;;32,5;35.700;35.874;2,06E-03;5,09;1436,13;" 	598 ";1600;12;Satish Dhawan Space Centre;PSLV-XL
IRNSS-1G;2016-027A;41469;253;;GEO;;129,5;35.774;35.797;2,73E-04;5,06;1436,05;" 	598 ";1600;12;Satish Dhawan Space Centre;PSLV
IRNSS-1I;2018-035A;43286;253;;GEO;;55;35.702;35.872;2,02E-03;28,5;1436,1;" 	598 ";1600;10;Satish Dhawan Space Centre;PSLV
IRS-P6;2003-046A;28051;253;Optical Imaging;LEO;Sun-Synchronous;0;817;823;4,17E-04;98,8;101,3;;1200;5;Satish Dhawan Space Centre;PSLV C5
ISARA;2017-071P;43050;253;;LEO;Non-Polar Inclined;0;421;423;1,47E-04;51,6;93;;;;Cygnus;Nanorack Deployer
iSat;2018-111D;43879;253;ADS-B Receiver;LEO;Sun-Synchronous;0;571;586;1,08E-03;97,7;96,2;;;;Vostochny Cosmodrome;Soyuz-2.1a
ISX;2018-104H;43856;253;;LEO;Polar;0;489;510;1,53E-03;85,03;94,6;;;;Rocket Lab Launch Complex 1;Electron
It's About Time;2023-054M;56189;253;;LEO;Sun-Synchronous;0;491;502;8,01E-04;97,4;94,4;" 	4 ";;;Vandenberg AFB;Falcon 9
ITU-pSAT1;2009-051E;35935;253;;LEO;Sun-Synchronous;0;710;721;7,76E-04;98,4;99,1;;;1;Satish Dhawan Space Centre;PSLV
IXPE;2021-121A;49954;253;;LEO;;0;588;603;1,08E-03;0,23;;;;;Cape Canaveral;Falcon 9
JAISAT-1;2019-038F;44419;253;;LEO;Sun-Synchronous;0;514;547;2,39E-03;97,5;95,2;;;;Vostochny Cosmodrome;Soyuz-2.1b
