COSPAR_number;NORAD_number;country1;country2;country3;country4;country5
2020-061AX;46317;USA;;;;
2023-001J;55017;USA;;;;
2020-068S;46502;USA;;;;
2017-008BC;41998;USA;;;;
2018-010E;43167;USA;;;;
2022-057A;52732;USA;;;;
2018-014F;43185;USA;;;;
2019-089M;44863;USA;;;;
2018-111H;43883;USA;;;;
2018-046H;43561;USA;;;;
2018-014D;43183;USA;;;;
2020-061AY;46318;USA;;;;
2022-057B;52733;USA;;;;
2019-018K;44087;USA;;;;
2018-096AD;43746;USA;;;;
2018-046E;43558;USA;;;;
2020-081F;46910;USA;;;;
2019-038S;44402;USA;;;;
2016-062F;41874;USA;;;;
2016-062C;41871;USA;;;;
2017-036H;42772;USA;;;;
2019-038AE;44414;USA;;;;
2017-071J;43045;USA;;;;
2018-046G;43560;USA;;;;
2017-042W;42845;USA;;;;
2018-111L;43886;USA;;;;
2018-088F;43695;USA;;;;
2019-036X;44360;USA;;;;
2018-004C;43113;UK;;;;
2015-049K;40908;China;;;;
2021-059Z;48902;USA;;;;
2021-059AA;48903;USA;;;;
2014-051A;40136;China;;;;
2019-005A;43942;China;;;;
2021-117D;49815;China;;;;
2017-077A;43034;China;;;;
2017-084A;43080;China;;;;
2018-006A;43146;China;;;;
2018-025A;43236;China;;;;
2023-054AU;56220;USA;;;;
2023-054AT;56219;USA;;;;
2020-051B;54940;China;;;;
2009-063A;36095;Russia;;;;
2017-076A;43032;Russia;;;;
2018-082A;43657;Russia;;;;
2021-008A;47546;Russia;;;;
2022-036A;52202;Russia;;;;
2014-086A;40358;Russia;;;;
2015-057A;40958;China;;;;
2020-089A;47202;Japan;;;;
2011-074B;37951;Russia;France;;;
2012-061A;38977;Russia;;;;
2023-031A;55841;Russia;;;;
2014-023A;39727;Russia;;;;
2014-058A;40258;Russia;;;;
2019-038W;44406;Czech Republic;;;;
2022-007A;51284;China;;;;
2022-018A;51822;China;;;;
2018-111AJ;43908;Spain;;;;
2018-048B;43485;China;;;;
2023-007C;55250;China;;;;
2023-001AP;55046;USA;;;;
2023-001AB;55034;USA;;;;
2020-011D;45605;USA;;;;
2022-033F;52162;USA;;;;
2021-059BM;48938;USA;;;;
2011-061F;37855;USA;;;;
2016-040G;41605;Canada;;;;
2021-059AE;48907;USA;;;;
2021-059AF;38908;USA;;;;
2001-056D;27004;Morocco;Germany;;;
2017-036P;42778;Italy;Germany;;;
2022-002M;50995;South Africa;;;;
2022-002BU;51050;South Africa;;;;
2022-002BG;51038;South Africa;;;;
2009-032A;35362;USA;;;;
2014-054B;40147;Germany;France;;;
2022-067B;52904;France;;;;
2011-058A;37838;India;;;;
2023-001B;55010;Spain;;;;
2018-064A;43587;USA;;;;
1994-054A;23223;USA;;;;
1996-026A;23855;USA;;;;
2014-020A;39652;USA;;;;
2022-030A;52146;Russia;;;;
2010-058A;37212;Russia;;;;
2011-018A;37398;Russia;;;;
2012-063A;38995;Russia;;;;
2014-069A;40296;Russia;;;;
2019-046A;44453;Russia;;;;
2020-015A;45254;Russia;;;;
2019-081C;44806;USA;;;;
2019-038A;44387;Russia;;;;
2014-037A;40069;Russia;;;;
2012-035B;38552;France;;;;
2015-034A;40732;France;Italy;;;
2002-040B;27509;France;;;;
2005-049B;28912;France;Italy;;;
2012-049A;38771;France;UK;Germany;Spain;
2018-087A;43689;France;UK;Germany;Spain;
2019-067B;44625;USA;;;;
2020-056B;46113;USA;;;;
2012-075B;39035;USA;;;;
2015-056A;40946;USA;;;;
2020-068D;46489;United Arab Emirates;;;;
2019-003D;43935;Vietnam;;;;
2018-004W;43131;USA;;;;
2016-026A;41464;Russia;;;;
1994-009A;22988;USA;;;;
2001-009A;26715;USA;;;;
2002-001A;27168;USA;;;;
2003-012A;27711;USA;;;;
2022-137A;54109;Russia;;;;
2022-137B;54110;Russia;;;;
2015-011A;40482;USA;;;;
2015-011B;40483;USA;;;;
2015-011C;40484;USA;;;;
2015-011D;40485;USA;;;;
2017-070A;43005;France;UK;Germany;Spain;Italy
2018-095A;43717;France;UK;Germany;Spain;Italy
2021-068A;49052;USA;;;;
2003-031D;27843;Canada;;;;
2018-099Y;43780;Germany;;;;
2003-042A;27939;Russia;;;;
2019-018AF;44109;Lithuania;;;;
1995-019A;23553;USA;;;;
2012-009A;38093;USA;;;;
2013-036A;39206;USA;;;;
2015-002A;40374;USA;;;;
2015-044A;40887;USA;;;;
2016-041A;41622;USA;;;;
2022-047AB;52419;USA;;;;
2017-042V;42844;USA;;;;
2004-049B;28493;Spain;;;;
2009-041E;35685;Spain;;;;
2021-022X;47953;Brazil;;;;
2023-003E;55137;China;;;;
2020-061BA;46320;Netherlands;;;;
2021-059CN;48963;Netherlands;;;;
2019-022E;44415;Egypt;;;;
2010-022A;36585;USA;;;;
2015-033A;40730;USA;;;;
2015-062A;41019;USA;;;;
2016-007A;41328;USA;;;;
2012-053A;38833;USA;;;;
2013-023A;39166;USA;;;;
2014-008A;39533;USA;;;;
2014-026A;39741;USA;;;;
2014-045A;40105;USA;;;;
2014-068A;40294;USA;;;;
2015-013A;40534;USA;;;;
2011-036A;37753;USA;;;;
2018-109A;43873;USA;;;;
2019-056A;44506;USA;;;;
2020-041A;45854;USA;;;;
2020-078A;46826;USA;;;;
2021-054A;48859;USA;;;;
2023-009A;55268;USA;;;;
1997-035A;24876;USA;;;;
1999-055A;25933;USA;;;;
2000-025A;26360;USA;;;;
2000-040A;26407;USA;;;;
2000-071A;26605;USA;;;;
2001-004A;26690;USA;;;;
2003-005A;27663;USA;;;;
2003-010A;27704;USA;;;;
2006-042A;29486;USA;;;;
2006-052A;29601;USA;;;;
2007-047A;32260;USA;;;;
2007-062A;32384;USA;;;;
2008-012A;32711;USA;;;;
2009-043A;35752;USA;;;;
2005-038A;28874;USA;;;;
2004-045A;28474;USA;;;;
2004-009A;28190;USA;;;;
2015-049G;40905;China;;;;
2022-011A;51511;Russia;;;;
2020-061F;46277;Canada;;;;
2021-033F;48253;China;;;;
2013-009D;39089;Canada;;;;
2021-059CR;48966;Spain;;;;
2022-072C;52937;Singapore;;;;
2020-068W;46506;Germany;;;;
2020-068X;46507;Germany;;;;
2020-068V;46505;Germany;;;;
2020-068U;46504;Germany;;;;
2018-099BF;43811;South Korea;;;;
2019-003F;43937;Japan;;;;
2011-077A;38014;China;;;;
2011-044B;37789;UK;;;;
2011-044C;37790;UK;;;;
2010-037A;36830;France;;;;
2022-061A;52817;France;;;;
2008-044A;33373;France;;;;
2009-050A;35873;USA;;;;
2012-026A;38342;USA;;;;
2019-076A;44779;China;;;;
2019-076B;44780;China;;;;
2019-076C;44781;China;;;;
2019-076D;44782;China;;;;
2019-076E;44783;China;;;;
2021-064A;49018;China;;;;
2021-064B;49019;China;;;;
2021-064C;49020;China;;;;
2021-064D;49021;China;;;;
2021-064E;49022;China;;;;
2017-036B;42766;India;;;;
2019-009A;44048;USA;;;;
1998-030A;25338;USA;;;;
2005-018A;28654;USA;;;;
2009-005A;33591;USA;;;;
2017-073A;43013;USA;;;;
2022-024A;51954;Iran;;;;
2020-068J;46494;Russia;;;;
2017-042B;42826;Norway;;;;
2017-042D;42828;Norway;;;;
2021-034E;48272;Norway;;;;
2023-054S;56194;Norway;;;;
2018-071B;43619;UK;;;;
2011-061A;37849;USA;;;;
2019-036B;44340;USA;;;;
2020-037A;45723;USA;;;;
2020-037B;45724;USA;;;;
2020-037C;45725;USA;;;;
2020-046A;45873;USA;;;;
2020-046B;45874;USA;;;;
2020-046C;45875;USA;;;;
2020-046D;45876;USA;;;;
2020-007A;45110;USA;;;;
2022-079A;53102;USA;;;;
2022-091A;53352;USA;;;;
2017-022A;42689;USA;;;;
2022-040A;52259;USA;;;;
2022-009A;51445;USA;;;;
2019-038E;44391;Israel;;;;
2023-001BL;55067;Sweden;;;;
2005-003A;28526;France;;;;
2000-059A;26554;USA;;;;
2009-058A;36032;USA;;;;
2002-057A;27603;USA;;;;
2002-019A;27414;USA;;;;
2009-008A;33749;USA;;;;
2020-079F;46832;Argentina;;;;
2020-079C;46829;Argentina;;;;
2020-079A;46827;Argentina;;;;
2020-079G;46833;Argentina;;;;
2020-079E;46831;Argentina;;;;
2020-079D;46830;Argentina;;;;
2020-079P;46840;Argentina;;;;
2020-079J;46835;Argentina;;;;
2020-079K;46836;Argentina;;;;
2021-059AC;48905;Argentina;;;;
2021-059AU;48921;Argentina;;;;
2021-059AT;48920;Argentina;;;;
2021-059AS;48919;Argentina;;;;
2022-033M;52168;Argentina;;;;
2022-033X;52178;Argentina;;;;
2022-033Q;52171;Argentina;;;;
2022-033AD;52184;Argentina;;;;
2022-033R;52172;Argentina;;;;
2022-057R;52747;Argentina;;;;
2022-057AJ;52764;Argentina;;;;
2017-034C;42760;Uruguay;;;;
2022-057S;52748;Argentina;;;;
2022-057W;52752;Argentina;;;;
2023-001BH;55064;Argentina;;;;
2023-001AQ;55047;Argentina;;;;
2023-001AN;55045;Argentina;;;;
2023-001AR;55048;Argentina;;;;
2023-054N;56190;Argentina;;;;
2023-054Z;56201;Argentina;;;;
2023-054AA;56202;Argentina;;;;
2023-054AB;56203;Argentina;;;;
2018-015D;43195;Argentina;;;;
2018-015K;43204;Argentina;;;;
2020-061A;46272;Argentina;;;;
2020-003B;45017;Argentina;;;;
2020-003C;45018;Argentina;;;;
2020-079B;46828;Argentina;;;;
2012-031A;38358;USA;;;;
2010-062C;37224;USA;;;;
2013-031C;39190;France;;;;
2014-038A;40079;France;;;;
2013-031B;39189;France;;;;
2013-031A;39188;France;;;;
2014-038B;40080;France;;;;
2014-038C;40081;France;;;;
2014-038D;40082;France;;;;
2014-083D;40351;France;;;;
2014-083A;40348;France;;;;
2014-083B;40349;France;;;;
2014-083C;40350;France;;;;
2018-024D;43234;France;;;;
2018-024C;43233;France;;;;
2018-024A;43231;France;;;;
2018-024B;43232;France;;;;
2019-020C;44114;France;;;;
2019-020D;44115;France;;;;
2019-020B;44113;France;;;;
2019-020A;44112;France;;;;
2013-031D;39191;France;;;;
2014-035A;40059;USA;;;;
2019-036T;44356;USA;;;;
2001-007A;26702;Sweden;Canada;Finland;France;
2021-051A;48844;USA;;;;
2014-019A;39650;Israel;;;;
2016-056A;41759;Israel;;;;
2023-044A;56083;Israel;;;;
2020-044A;45860;Israel;;;;
2002-025A;27434;Israel;;;;
2007-025A;31601;Israel;;;;
2010-031A;36608;Israel;;;;
2019-010A;44057;UK;;;;
2019-010D;44058;UK;;;;
2019-010C;44059;UK;;;;
2019-010B;44060;UK;;;;
2019-010E;44061;UK;;;;
2019-010F;44062;UK;;;;
2020-008A;45131;UK;;;;
2020-008B;45132;UK;;;;
2020-020L;45434;UK;;;;
2020-020AB;45449;UK;;;;
2020-008C;45133;UK;;;;
2020-008D;45134;UK;;;;
2020-008E;45135;UK;;;;
2020-008F;45136;UK;;;;
2020-008G;45137;UK;;;;
2020-008H;45138;UK;;;;
2020-008J;45139;UK;;;;
2020-020J;45432;UK;;;;
2020-008K;45140;UK;;;;
2020-020X;45445;UK;;;;
2020-020H;45431;UK;;;;
2020-008L;45141;UK;;;;
2020-008M;45142;UK;;;;
2020-020AG;45454;UK;;;;
2020-008N;45143;UK;;;;
2020-008P;45144;UK;;;;
2020-020S;45440;UK;;;;
2020-008Q;45145;UK;;;;
2020-008R;45146;UK;;;;
2020-008S;45147;UK;;;;
2020-008T;45148;UK;;;;
2020-020T;45441;UK;;;;
2020-008U;45149;UK;;;;
2020-008V;45150;UK;;;;
2020-008W;45151;UK;;;;
2020-020Z;45447;UK;;;;
2020-008X;45152;UK;;;;
2020-008Y;45153;UK;;;;
2020-008Z;45154;UK;;;;
2020-020AF;45453;UK;;;;
2020-008AA;45155;UK;;;;
2020-008AB;45156;UK;;;;
2020-008AC;45157;UK;;;;
2020-008AD;45158;UK;;;;
2020-020V;45443;UK;;;;
2020-008AE;45159;UK;;;;
2020-008AF;45160;UK;;;;
2020-008AG;45161;UK;;;;
2020-008AH;45162;UK;;;;
2020-020AH;45455;UK;;;;
2020-020E;45428;UK;;;;
2020-008AJ;45163;UK;;;;
2020-020AA;45448;UK;;;;
2020-020K;45433;UK;;;;
2020-008AK;45164;UK;;;;
2020-020A;45424;UK;;;;
2020-020B;45425;UK;;;;
2020-020Y;45446;UK;;;;
2020-020G;45430;UK;;;;
2020-020C;45426;UK;;;;
2020-020F;45429;UK;;;;
2020-020AE;45452;UK;;;;
2020-020M;45435;UK;;;;
2020-020Q;45438;UK;;;;
2020-020AJ;45456;UK;;;;
2020-020AD;45451;UK;;;;
2020-020AK;45457;UK;;;;
2020-020D;45427;UK;;;;
2020-020P;45437;UK;;;;
2020-020W;45444;UK;;;;
2020-020AC;45450;UK;;;;
2020-020N;45436;UK;;;;
2020-020R;45439;UK;;;;
2020-020U;45442;UK;;;;
2021-025H ;48049;USA;;;;
2020-100A;47258;UK;;;;
2021-025G ;48048;USA;;;;
2021-025AL ;48076;USA;;;;
2020-100B;47259;UK;;;;
2020-100C;47260;UK;;;;
2020-100D;47261;UK;;;;
2021-025K ;48051;USA;;;;
2021-025J ;48050;USA;;;;
2020-100E;47262;UK;;;;
2021-025A ;48042;USA;;;;
2021-025E ;48046;USA;;;;
2020-100F;47263;UK;;;;
2020-100G;47264;UK;;;;
2020-100H;47265;UK;;;;
2020-100J;47266;UK;;;;
2020-100K;47267;UK;;;;
2020-100L;47268;UK;;;;
2020-100M;47269;UK;;;;
2020-100N;47270;UK;;;;
2020-100P;47271;UK;;;;
2020-100Q;47272;UK;;;;
2020-100R;47273;UK;;;;
2020-100S;47274;UK;;;;
2020-100T;47275;UK;;;;
2020-100U;47276;UK;;;;
2020-100V;47277;UK;;;;
2020-100W;47278;UK;;;;
2020-100X;47279;UK;;;;
2020-100Y;47280;UK;;;;
2020-100Z;47281;UK;;;;
2020-100AA;47282;UK;;;;
2020-100AB;47283;UK;;;;
2020-100AC;47284;UK;;;;
2020-100AD;47285;UK;;;;
2020-100AE;47286;UK;;;;
2020-100AF;47287;UK;;;;
2020-100AG;47288;UK;;;;
2020-100AH;47289;UK;;;;
2020-100AJ;47290;UK;;;;
2020-100AK;47291;UK;;;;
2020-100AL;47292;UK;;;;
2020-100AM;47293;UK;;;;
2021-025T ;48059;USA;;;;
2021-025S ;48058;USA;;;;
2021-025F ;48047;USA;;;;
2021-025AA ;48066;USA;;;;
2021-025B ;48043;USA;;;;
2021-025C ;48044;USA;;;;
2021-025D ;48045;USA;;;;
2021-025R ;48057;USA;;;;
2021-025L ;48052;USA;;;;
2021-025P ;48055;USA;;;;
2021-025N ;48054;USA;;;;
2021-025W ;48062;USA;;;;
2021-025U ;48060;USA;;;;
2021-025M ;48053;USA;;;;
2021-025Q ;48056;USA;;;;
2021-025V ;48061;USA;;;;
2021-025X ;48063;USA;;;;
2021-031Z ;48233;USA;;;;
2021-025Z ;48065;USA;;;;
2021-025Y ;48064;USA;;;;
2021-025AC ;48068;USA;;;;
2021-025AM ;48077;USA;;;;
2021-025AB ;48067;USA;;;;
2021-025AE ;48070;USA;;;;
2021-025AF ;48071;USA;;;;
2021-025AD ;48069;USA;;;;
2021-025AG ;48072;USA;;;;
2021-025AH ;48073;USA;;;;
2021-031A ;48210;USA;;;;
2021-025AJ ;48074;USA;;;;
2021-025AK ;48075;USA;;;;
2021-031C ;48212;USA;;;;
2021-031D ;48213;USA;;;;
2021-031W ;48230;USA;;;;
2021-031U ;48228;USA;;;;
2021-031K ;48219;USA;;;;
2021-031B ;48211;USA;;;;
2021-031L ;48220;USA;;;;
2021-031V ;48229;USA;;;;
2021-031M ;48221;USA;;;;
2021-031X ;48231;USA;;;;
2021-031H ;48217;USA;;;;
2021-045AF;48796;USA;;;;
2021-031AF ;48239;USA;;;;
2021-031N ;48222;USA;;;;
2021-031AE ;48238;USA;;;;
2021-031AD ;48237;USA;;;;
2021-031AG ;48240;USA;;;;
2021-031J ;48218;USA;;;;
2021-031AC ;48236;USA;;;;
2021-031G ;48216;USA;;;;
2021-031AA ;48234;USA;;;;
2021-031AL ;48244;USA;;;;
2021-031AH ;48241;USA;;;;
2021-031Q ;48224;USA;;;;
2021-031AB ;48235;USA;;;;
2021-031R ;48225;USA;;;;
2021-031S ;48226;USA;;;;
2021-031T ;48227;USA;;;;
2021-031AJ ;48242;USA;;;;
2021-031AK ;48243;USA;;;;
2021-031F ;48215;USA;;;;
2021-045W;48787;USA;;;;
2021-045A;48767;USA;;;;
2021-045AA;48791;USA;;;;
2021-045Z;48790;USA;;;;
2021-045X;48788;USA;;;;
2021-045AK;48800;USA;;;;
2021-045AL;48801;USA;;;;
2021-031AM ;48245;USA;;;;
2021-031E ;48214;USA;;;;
2021-031P ;48223;USA;;;;
2021-031Y ;48232;USA;;;;
2021-045Y;48789;USA;;;;
2021-045J;48775;USA;;;;
2021-045B;48768;USA;;;;
2021-045AD;48794;USA;;;;
2021-045AJ;48799;USA;;;;
2021-045AC;48793;USA;;;;
2021-045AB;48792;USA;;;;
2021-045P;48780;USA;;;;
2021-045N;48779;USA;;;;
2021-045C;48769;USA;;;;
2021-045R;48782;USA;;;;
2021-045Q;48781;USA;;;;
2021-045AE;48795;USA;;;;
2021-045S;48783;USA;;;;
2021-045E;48771;USA;;;;
2021-045AG;48797;USA;;;;
2021-045D;48770;USA;;;;
2021-045T;48784;USA;;;;
2021-045AM;48802;USA;;;;
2021-045U;48785;USA;;;;
2021-045G;48773;USA;;;;
2021-045F;48772;USA;;;;
2021-045H;48774;USA;;;;
2021-045K;48776;USA;;;;
2021-045M;48778;USA;;;;
2021-045V;48786;USA;;;;
2021-045L;48777;USA;;;;
2021-045AH;48798;USA;;;;
2021-061A;48967;USA;;;;
2021-061B;48968;USA;;;;
2021-061D;48970;USA;;;;
2021-061E;48971;USA;;;;
2021-061F;48972;USA;;;;
2021-061G;48973;USA;;;;
2021-061H;48974;USA;;;;
2021-061J;48975;USA;;;;
2021-061K;48976;USA;;;;
2021-061L;48977;USA;;;;
2021-061M;48978;USA;;;;
2021-061N;48979;USA;;;;
2021-061P;48980;USA;;;;
2021-061Q;48981;USA;;;;
2021-061R;48982;USA;;;;
2021-061T;48984;USA;;;;
2021-061U;48985;USA;;;;
2021-061V;48986;USA;;;;
2021-061W;48987;USA;;;;
2021-061X;48988;USA;;;;
2021-061Y;48989;USA;;;;
2021-061Z;48990;USA;;;;
2021-061AA;48991;USA;;;;
2021-061AB;48992;USA;;;;
2021-061AC;48993;USA;;;;
2021-061AD;48994;USA;;;;
2021-061AE;48995;USA;;;;
2021-061AF;48996;USA;;;;
2021-061AG;48997;USA;;;;
2021-061AH;48998;USA;;;;
2021-061AJ;48999;USA;;;;
2021-061AK;49000;USA;;;;
2021-061AL;49001;USA;;;;
2021-061AM;49002;USA;;;;
2021-075A;49075;USA;;;;
2021-075B;49076;USA;;;;
2021-075C;49077;USA;;;;
2021-075D;49078;USA;;;;
2021-075E;49079;USA;;;;
2021-075F;49080;USA;;;;
2021-075G;49081;USA;;;;
2021-083A ;49186;USA;;;;
2021-075H;49082;USA;;;;
2021-075J;49083;USA;;;;
2021-075K;49084;USA;;;;
2021-075L;49085;USA;;;;
2021-075M;49086;USA;;;;
2021-075N;49087;USA;;;;
2021-075P;49088;USA;;;;
2021-075Q;49089;USA;;;;
2021-075R;49090;USA;;;;
2021-075S;49091;USA;;;;
2021-083B ;49187;USA;;;;
2021-075T;49092;USA;;;;
2021-075U;49093;USA;;;;
2021-083C ;49188;USA;;;;
2021-083D ;49189;USA;;;;
2021-075V;49094;USA;;;;
2021-075W;49095;USA;;;;
2021-075X;49096;USA;;;;
2021-075Y;49097;USA;;;;
2021-075Z;49098;USA;;;;
2021-075AA;49099;USA;;;;
2021-075AB;49100;USA;;;;
2021-075AC;49101;USA;;;;
2021-075AD;49102;USA;;;;
2021-075AE;49103;USA;;;;
2021-075AF;49104;USA;;;;
2021-075AG;49105;USA;;;;
2021-083E ;49190;USA;;;;
2021-083F ;49191;USA;;;;
2021-083G ;49192;USA;;;;
2021-075AH;49106;USA;;;;
2021-083H ;49193;USA;;;;
2021-083J ;49194;USA;;;;
2021-083K ;49195;USA;;;;
2021-083L ;49196;USA;;;;
2021-083M ;49197;USA;;;;
2021-075AJ;49107;USA;;;;
2021-075AK;49108;USA;;;;
2021-083N ;49198;USA;;;;
2021-090A ;49279;USA;;;;
2021-083P ;49199;USA;;;;
2021-083Q ;49200;USA;;;;
2021-083R ;49201;USA;;;;
2021-083S ;49202;USA;;;;
2021-083T ;49203;USA;;;;
2021-083U ;49204;USA;;;;
2021-083V ;49205;USA;;;;
2021-083W ;49206;USA;;;;
2021-083X ;49207;USA;;;;
2021-083Y ;49208;USA;;;;
2021-083Z ;49209;USA;;;;
2021-083AA ;49210;USA;;;;
2021-083AB ;49211;USA;;;;
2021-083AC ;49212;USA;;;;
2021-090B ;49280;USA;;;;
2021-083AD ;49213;USA;;;;
2021-090C ;49281;USA;;;;
2021-083AE ;49214;USA;;;;
2021-083AF ;49215;USA;;;;
2021-083AG ;49216;USA;;;;
2021-090D ;49282;USA;;;;
2021-083AH ;49217;USA;;;;
2021-083AJ ;49218;USA;;;;
2021-090E ;49283;USA;;;;
2021-083AK ;49219;USA;;;;
2021-090F ;49284;USA;;;;
2021-090G ;49285;USA;;;;
2021-090H ;49286;USA;;;;
2021-090J ;49287;USA;;;;
2021-090K ;49288;USA;;;;
2021-090L ;49289;USA;;;;
2021-090M ;49290;USA;;;;
2021-090N ;49291;USA;;;;
2021-090P ;49292;USA;;;;
2021-090Q ;49293;USA;;;;
2021-090R ;49294;USA;;;;
2021-090S ;49295;USA;;;;
2021-090T ;49296;USA;;;;
2021-090U ;49297;USA;;;;
2021-090V ;49298;USA;;;;
2021-090W ;49299;USA;;;;
2021-090X ;49300;USA;;;;
2021-090Y ;49301;USA;;;;
2021-090Z ;49302;USA;;;;
2021-090AA ;49303;USA;;;;
2021-090AB ;49304;USA;;;;
2021-090AC ;49305;USA;;;;
2021-090AD ;49306;USA;;;;
2021-090AE ;49307;USA;;;;
2021-090AF ;49308;USA;;;;
2021-090AG ;49309;USA;;;;
2021-090AH ;49310;USA;;;;
2021-090AJ ;49311;USA;;;;
2021-090AK ;49312;USA;;;;
2021-090AL ;49313;USA;;;;
2021-090AM ;49314;USA;;;;
2021-132A ;50469;USA;;;;
2021-132B ;50470;USA;;;;
2021-132C ;50471;USA;;;;
2021-132D ;50472;USA;;;;
2021-132E ;50473;USA;;;;
2021-132F ;50474;USA;;;;
2021-132G ;50475;USA;;;;
2021-132H ;50476;USA;;;;
2021-132J ;50477;USA;;;;
2021-132K ;50478;USA;;;;
2021-132L ;50479;USA;;;;
2021-132M ;50480;USA;;;;
2021-132N ;50481;USA;;;;
2021-132P ;50482;USA;;;;
2021-132Q ;50483;USA;;;;
2021-132R ;50484;USA;;;;
2021-132S ;50485;USA;;;;
2021-132T ;50486;USA;;;;
2021-132U ;50487;USA;;;;
2021-132V ;50488;USA;;;;
2022-012A;51622;USA;;;;
2022-012B;51623;USA;;;;
2021-132W ;50489;USA;;;;
2021-132X ;50490;USA;;;;
2021-132Y ;50491;USA;;;;
2022-012C;51624;USA;;;;
2022-012D;51625;USA;;;;
2021-132Z ;50492;USA;;;;
2021-132AA ;50493;USA;;;;
2021-132AB ;50494;USA;;;;
2021-132AC ;50495;USA;;;;
2021-132AD ;50496;USA;;;;
2022-012E;51626;USA;;;;
2022-012F;51627;USA;;;;
2021-132AE ;50497;USA;;;;
2022-012G;51628;USA;;;;
2021-132AF ;50498;USA;;;;
2021-132AG ;50499;USA;;;;
2022-012H;51629;USA;;;;
2021-132AH ;50500;USA;;;;
2021-132AJ ;50501;USA;;;;
2022-012J;51630;USA;;;;
2021-132AK ;50502;USA;;;;
2022-012K;51631;USA;;;;
2022-012L;51632;USA;;;;
2022-012M;51633;USA;;;;
2022-012N;51634;USA;;;;
2022-012P;51635;USA;;;;
2021-132AL ;50503;USA;;;;
2022-012Q;51636;USA;;;;
2022-012R;51637;USA;;;;
2022-012S;51638;USA;;;;
2022-012T;51639;USA;;;;
2022-012U;51640;USA;;;;
2022-012V;51641;USA;;;;
2022-012W;51642;USA;;;;
2021-132AM ;50504;USA;;;;
2022-012X;51643;USA;;;;
2022-012Y;51644;USA;;;;
2022-012Z;51645;USA;;;;
2022-012AA;51646;USA;;;;
2022-012AB;51647;USA;;;;
2022-012AC;51648;USA;;;;
2022-012AD;51649;USA;;;;
2022-012AE;51650;USA;;;;
2022-012AF;51651;USA;;;;
2022-012AG;51652;USA;;;;
2022-012AH;51653;USA;;;;
2022-012AJ;51654;USA;;;;
2022-012AK;51655;USA;;;;
2022-138A ;54113;USA;;;;
2022-138B ;54114;USA;;;;
2022-138C ;54115;USA;;;;
2022-138D ;54116;USA;;;;
2022-138E ;54117;USA;;;;
2022-138F ;54118;USA;;;;
2022-138G ;54119;USA;;;;
2022-138H ;54120;USA;;;;
2022-138J ;54121;USA;;;;
2022-138K ;54122;USA;;;;
2022-138L ;54123;USA;;;;
2022-138M ;54124;USA;;;;
2022-138N ;54125;USA;;;;
2022-138P ;54126;USA;;;;
2022-138Q ;54127;USA;;;;
2022-138R ;54128;USA;;;;
2022-138S ;54129;USA;;;;
2022-138T ;54130;USA;;;;
2022-138U ;54131;USA;;;;
2022-138V ;54132;USA;;;;
2022-138W ;54133;USA;;;;
2022-138X ;54134;USA;;;;
2022-138Y ;54135;USA;;;;
2022-138Z ;54136;USA;;;;
2022-138AA ;54137;USA;;;;
2022-138AB ;54138;USA;;;;
2022-138AC ;54139;USA;;;;
2022-138AD ;54140;USA;;;;
2022-138AE ;54141;USA;;;;
2022-138AF ;54142;USA;;;;
2022-138AG ;54143;USA;;;;
2022-138AH ;54144;USA;;;;
2022-166A ;54642;USA;;;;
2022-166B ;54643;USA;;;;
2022-138AJ ;54145;USA;;;;
2022-138AK ;54146;USA;;;;
2023-004A;55140;USA;;;;
2023-004B;55141;USA;;;;
2022-138AL ;54147;USA;;;;
2022-138AM ;54148;USA;;;;
2022-166C ;54644;USA;;;;
2022-166D ;54645;USA;;;;
2023-004C;55142;USA;;;;
2022-166E ;54646;USA;;;;
2023-004D;55143;USA;;;;
2023-004E;55144;USA;;;;
2022-166F ;54647;USA;;;;
2023-043K;56055;USA;;;;
2023-043L;56056;USA;;;;
2023-043M;56057;USA;;;;
2023-043N;56058;USA;;;;
2023-043P;56059;USA;;;;
2023-043Q;56060;USA;;;;
2023-004F;55145;USA;;;;
2023-029F;55801;USA;;;;
2023-004G;55146;USA;;;;
2023-043R;56061;USA;;;;
2023-004H;55147;USA;;;;
2023-043S;56062;USA;;;;
2023-004J;55148;USA;;;;
2023-004K;55149;USA;;;;
2023-004L;55150;USA;;;;
2023-004M;55151;USA;;;;
2023-004N;55152;USA;;;;
2023-043T;56063;USA;;;;
2023-043U;56064;USA;;;;
2023-043V;56065;USA;;;;
2023-043W;56066;USA;;;;
2023-043X;56067;USA;;;;
2023-043Y;56068;USA;;;;
2022-166G ;54648;USA;;;;
2023-043Z;56069;USA;;;;
2022-166H ;54649;USA;;;;
2022-166J ;54650;USA;;;;
2022-166K ;54651;USA;;;;
2022-166L ;54652;USA;;;;
2022-166M ;54653;USA;;;;
2022-166N ;54654;USA;;;;
2023-004P;55153;USA;;;;
2022-166P ;54655;USA;;;;
2022-166Q ;54656;USA;;;;
2022-166R ;54657;USA;;;;
2022-166S ;54658;USA;;;;
2022-166T ;54659;USA;;;;
2022-166U ;54660;USA;;;;
2022-166V ;54661;USA;;;;
2022-166W ;54662;USA;;;;
2022-166X ;54663;USA;;;;
2023-004Q;55154;USA;;;;
2023-004R;55155;USA;;;;
2022-166Y ;54664;USA;;;;
2022-166Z ;54665;USA;;;;
2022-166AA ;54666;USA;;;;
